,dep,version,filepath,type,condition,status
0,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
1,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
2,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
3,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
5,pandas,<2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
6,scipy,">=0.17,<=1.10.1",/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
7,scikit-learn,<1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
8,cvxpy,>=1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
9,numpy,<=1.24.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
10,keras,==2.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
11,scipy,>=0.17,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
12,tensorflow,==1.14,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
14,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
15,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
20,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
22,numba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
25,nyoka,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
26,cvxpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
27,xmltodict,==0.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
28,lime,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
32,xport,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
35,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
40,scikit-image,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
42,h5py,<3.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
48,shap,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
51,tensorflow,==2.9.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
53,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
54,plotly,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
55,ipython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
56,kaleido,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
64,networkx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
65,graphviz,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
66,pygraphviz,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
72,numba,<=0.56,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/setup.py,extras_require,*@*,*
74,keras,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/docs/requirements.txt,*,*@*,*
75,tensorflow,==1.14,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/docs/requirements.txt,*,*@*,*
76,scikit-image,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/docs/requirements.txt,*,*@*,*
77,numba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/docs/requirements.txt,*,*@*,*
78,numpy,>=1.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/docs/requirements.txt,*,*@*,*
79,scikit-learn,>=0.21.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/docs/requirements.txt,*,*@*,*
80,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/docs/requirements.txt,*,*@*,*
81,xmltodict,==0.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/docs/requirements.txt,*,*@*,*
82,xgboost,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/docs/requirements.txt,*,*@*,*
83,lime,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/docs/requirements.txt,*,*@*,*
84,cvxpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/docs/requirements.txt,*,*@*,*
85,scipy,>=0.17,/home/daniele/git/NICHE_projects/Repo/Cloneables/AIX360/docs/requirements.txt,*,*@*,*
