,dep,version,filepath,type,condition,status
0,absl-py,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
1,addict,==2.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
2,astor,==0.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
3,astunparse,==1.6.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
4,cachetools,==5.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
5,charset-normalizer,==2.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
6,click,==8.1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
7,coloredlogs,==15.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
8,commonmark,==0.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
9,Cython,==0.29.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
10,decorator,==5.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
11,defusedxml,==0.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
12,flatbuffers,==2.0.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
13,future,==0.18.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
14,gast,==0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
15,google-auth,==2.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
16,google-auth-oauthlib,==0.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
17,google-pasta,==0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
18,grpcio,==1.50.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
19,h5py,==3.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
20,humanfriendly,==10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
21,idna,==3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
22,importlib-metadata,==5.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
23,jstyleson,==0.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
24,keras,==2.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
25,Keras-Preprocessing,==1.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
26,libclang,==14.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
27,Markdown,==3.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
28,MarkupSafe,==2.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
29,mpmath,==1.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
30,networkx,==2.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/Adlik/model_compiler/setup.py,install_requires,@*,*
