,dep,version,filepath,type,condition,status
0,pyquil,~=3.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/requirements.txt,*,*@*,*
1,pyquil,~=3.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
2,sympy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
3,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
4,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
5,sortedcontainers,~=2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
6,numpy,~=1.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
7,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
8,duet,~=0.2.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
9,typing_extensions,>=4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
10,networkx,>=2.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
11,matplotlib,~=3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
12,opt_einsum,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
13,numba,>=0.53.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
14,autoray,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
15,ply,>=3.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
16,pylatex,~=1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
17,quimb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
18,requests,~=2.18,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
20,myst-parser,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
21,Sphinx,~=3.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
22,Jinja2,<=3.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
23,sphinx-notfound-page,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
24,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
25,requests,==2.31.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
26,google-cloud-secret-manager,==1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
27,cachetools,>=5.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
28,nbconvert,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
29,ipywidgets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
30,attrs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
31,nbformat,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
33,proto-plus,>= 1.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
34,protobuf,>= 3.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
35,google-api-core,>= 1.14.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-rigetti/setup.py,install_requires,*@*,*
36,sympy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/requirements.txt,*,*@*,*
37,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/requirements.txt,*,*@*,*
38,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/requirements.txt,*,*@*,*
39,sortedcontainers,~=2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/requirements.txt,*,*@*,*
40,numpy,~=1.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/requirements.txt,*,*@*,*
41,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/requirements.txt,*,*@*,*
42,duet,~=0.2.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/requirements.txt,*,*@*,*
43,typing_extensions,>=4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/requirements.txt,*,*@*,*
44,networkx,>=2.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/requirements.txt,*,*@*,*
45,matplotlib,~=3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/requirements.txt,*,*@*,*
46,pyquil,~=3.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
47,sympy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
48,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
49,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
50,sortedcontainers,~=2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
51,numpy,~=1.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
52,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
53,duet,~=0.2.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
54,typing_extensions,>=4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
55,networkx,>=2.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
56,matplotlib,~=3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
57,opt_einsum,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
58,numba,>=0.53.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
59,autoray,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
60,ply,>=3.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
61,pylatex,~=1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
62,quimb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
63,requests,~=2.18,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
65,myst-parser,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
66,Sphinx,~=3.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
67,Jinja2,<=3.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
68,sphinx-notfound-page,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
69,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
70,requests,==2.31.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
71,google-cloud-secret-manager,==1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
72,cachetools,>=5.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
73,nbconvert,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
74,ipywidgets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
75,attrs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
76,nbformat,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
78,proto-plus,>= 1.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
79,protobuf,>= 3.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
80,google-api-core,>= 1.14.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/setup.py,install_requires,*@*,*
81,opt_einsum,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/cirq/contrib/requirements.txt,*,*@*,*
82,numba,>=0.53.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/cirq/contrib/requirements.txt,*,*@*,*
83,autoray,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/cirq/contrib/requirements.txt,*,*@*,*
84,ply,>=3.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/cirq/contrib/requirements.txt,*,*@*,*
85,pylatex,~=1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/cirq/contrib/requirements.txt,*,*@*,*
86,quimb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-core/cirq/contrib/requirements.txt,*,*@*,*
87,requests,~=2.18,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-aqt/requirements.txt,*,*@*,*
88,pyquil,~=3.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-aqt/setup.py,install_requires,*@*,*
89,sympy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-aqt/setup.py,install_requires,*@*,*
90,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-aqt/setup.py,install_requires,*@*,*
91,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-aqt/setup.py,install_requires,*@*,*
92,sortedcontainers,~=2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-aqt/setup.py,install_requires,*@*,*
93,numpy,~=1.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-aqt/setup.py,install_requires,*@*,*
94,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cirq/cirq-aqt/setup.py,install_requires,*@*,*
