,dep,version,filepath,type,condition,status
0,torch,>=1.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/ClassyVision/requirements.txt,*,*@*,*
1,torchvision,>=0.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/ClassyVision/requirements.txt,*,*@*,*
2,fvcore,>=0.1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/ClassyVision/requirements.txt,*,*@*,*
3,GitPython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ClassyVision/setup.py,extras_require,(__name__ == '__main__')@*,*
4,black,==19.3b0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ClassyVision/setup.py,extras_require,(__name__ == '__main__')@*,*
5,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ClassyVision/setup.py,extras_require,(__name__ == '__main__')@*,*
6,isort,==5.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ClassyVision/setup.py,extras_require,(__name__ == '__main__')@*,*
7,bs4,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ClassyVision/setup.py,extras_require,(__name__ == '__main__')@*,*
8,nbconvert,==6.0.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/ClassyVision/setup.py,extras_require,(__name__ == '__main__')@*,*
9,pre-commit,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ClassyVision/setup.py,extras_require,(__name__ == '__main__')@*,*
10,parameterized,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ClassyVision/setup.py,extras_require,(__name__ == '__main__')@*,*
11,fairscale,==0.3.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/ClassyVision/setup.py,extras_require,(__name__ == '__main__')@*,*
12,boto3,==1.10.28,/home/daniele/git/NICHE_projects/Repo/Cloneables/ClassyVision/examples/ray/requirements.txt,*,*@*,*
13,ray,==0.7.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/ClassyVision/examples/ray/requirements.txt,*,*@*,*
