,dep,version,filepath,type,condition,status
0,pre-commit,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/requirements-dev.txt,*,*@*,*
1,black,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/requirements-dev.txt,*,*@*,*
2,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/requirements-dev.txt,*,*@*,*
3,twine,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/requirements-dev.txt,*,*@*,*
4,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/requirements-dev.txt,*,*@*,*
5,m2r2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/requirements-dev.txt,*,*@*,*
6,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/requirements-dev.txt,*,*@*,*
7,sphinx-rtd-theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/requirements-dev.txt,*,*@*,*
8,matplotlib,>=3.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,install_requires,@*,*
9,pandas,>=0.23.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,install_requires,@*,*
10,msgpack-numpy,>=0.4.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,install_requires,@*,*
11,spacy,>=2.3.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,install_requires,@*,*
12,scipy,>=1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,install_requires,@*,*
13,scikit-learn,>=0.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,install_requires,@*,*
14,nltk,>=3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,install_requires,@*,*
15,dill,>=0.2.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,install_requires,@*,*
16,joblib,>=0.13.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,install_requires,@*,*
17,clean-text,>=0.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,install_requires,@*,*
18,unidecode,>=1.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,install_requires,@*,*
19,tqdm,>=4.64.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,install_requires,@*,*
20,pymongo,>=4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,install_requires,@*,*
21,pyyaml,>=5.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,install_requires,@*,*
22,dnspython,>=1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,install_requires,@*,*
23,torch,>=0.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,extras_require,@*,*
24,sphinx-rtd-theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/docs/requirements.txt,*,*@*,*
25,m2r2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/docs/requirements.txt,*,*@*,*
26,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/docs/requirements.txt,*,*@*,*
