,dep,version,filepath,bloated,cve,affected versions,advisory
0,pre-commit,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/requirements-dev.txt,False,CVE-2017-18342,<1.10.4,"Pre-commit 1.10.4 replaces 'yaml.load' with safe alternative to avoid a remote code execution vulnerability.
https://github.com/pre-commit/pre-commit/commit/6853f4aa4c8d7e411839bacc66876baea443186a"
1,black,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/requirements-dev.txt,False,no one,no one,no one
2,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/requirements-dev.txt,False,no one,no one,no one
3,twine,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/requirements-dev.txt,False,CVE-2018-18074,<2.0.0,Twine 2.0.0 updates requests to 2.20 (or later) to include a security fix.
4,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/requirements-dev.txt,False,no one,no one,no one
5,m2r2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/requirements-dev.txt,False,no one,no one,no one
6,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/requirements-dev.txt,False,CVE-2020-11023,<3.0.4,Sphinx 3.0.4 updates jQuery version from 3.4.1 to 3.5.1 for security reasons.
7,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/requirements-dev.txt,False,CVE-2020-11022,<3.0.4,Sphinx 3.0.4 updates jQuery version from 3.4.1 to 3.5.1 for security reasons.
8,sphinx-rtd-theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/requirements-dev.txt,False,no one,no one,no one
9,matplotlib,>=3.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,False,no one,no one,no one
10,pandas,>=0.23.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,False,CVE-2020-13091,">=0,<1.0.4","** DISPUTED ** pandas through 1.0.3 can unserialize and execute commands from an untrusted file that is passed to the read_pickle() function, if __reduce__ makes an os.system call. NOTE: third parties dispute this issue because the read_pickle() function is documented as unsafe and it is the user's responsibility to use the function in a secure manner."
11,msgpack-numpy,>=0.4.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,True,no one,no one,no one
12,spacy,>=2.3.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,False,no one,no one,no one
13,scipy,>=1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,False,CVE-2013-4251,">=0,<0.12.1",The scipy.weave component in SciPy before 0.12.1 creates insecure temporary directories.
14,scikit-learn,>=0.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,False,PVE-2022-52255,<0.24.2,"Scikit-learn 0.24.2 includes a fix for a ReDoS vulnerability.
https://github.com/scikit-learn/scikit-learn/issues/19522"
15,scikit-learn,>=0.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,False,CVE-2020-13092,">=0,<0.23.1","** DISPUTED ** scikit-learn (aka sklearn) through 0.23.0 can unserialize and execute commands from an untrusted file that is passed to the joblib.load() function, if __reduce__ makes an os.system call. NOTE: third parties dispute this issue because the joblib.load() function is documented as unsafe and it is the user's responsibility to use the function in a secure manner."
16,scikit-learn,>=0.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,False,CVE-2020-28975,">=0,<0.24.dev0","** DISPUTED ** svm_predict_values in svm.cpp in Libsvm v324, as used in scikit-learn 0.23.2 and other products, allows attackers to cause a denial of service (segmentation fault) via a crafted model SVM (introduced via pickle, json, or any other model permanence standard) with a large value in the _n_support array. NOTE: the scikit-learn vendor's position is that the behavior can only occur if the library's API is violated by an application that changes a private attribute."
17,nltk,>=3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,False,PVE-2023-54914,<3.6,"Nltk 3.6 includes a fix for a REDoS vulnerability.
https://github.com/nltk/nltk/pull/2597"
18,nltk,>=3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,False,CVE-2021-43854,<3.6.5,"Nltk 3.6.5 includes a fix for CVE-2021-43854: Versions prior to 3.6.5 are vulnerable to regular expression denial of service (ReDoS) attacks. The vulnerability is present in PunktSentenceTokenizer, sent_tokenize and word_tokenize. Any users of this class, or these two functions, are vulnerable to the ReDoS attack. In short, a specifically crafted long input to any of these vulnerable functions will cause them to take a significant amount of execution time. If your program relies on any of the vulnerable functions for tokenizing unpredictable user input, it's strongly recommended upgrading to a version of NLTK without the vulnerability. For users unable to upgrade the execution time can be bounded by limiting the maximum length of an input to any of the vulnerable functions.
https://github.com/nltk/nltk/security/advisories/GHSA-f8m6-h2c7-8h9x
https://github.com/nltk/nltk/issues/2866"
19,nltk,>=3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/Cornell-Conversational-Analysis-Toolkit/setup.py,False,CVE-2019-14751,">=0,<3.4.5","NLTK Downloader before 3.4.5 is vulnerable to a directory traversal, allowing attackers to write arbitrary files via a (dot dot slash) in an NLTK package (ZIP archive) that is mishandled during extraction."
