,dep,version,filepath,type,condition,status
0,future,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/requirements.txt,*,*@*,*
1,omegaconf,>=2.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/requirements.txt,*,*@*,*
2,onnx,>=1.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/requirements.txt,*,*@*,*
3,pandas,>=1.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/requirements.txt,*,*@*,*
4,torchvision,>=0.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/requirements.txt,*,*@*,*
5,scipy,>=1.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/requirements.txt,*,*@*,*
6,sklearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/requirements.txt,*,*@*,*
7,torch,>=1.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/requirements.txt,*,*@*,*
8,pyyaml,>=5.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/requirements.txt,*,*@*,*
9,tensorboard,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/requirements.txt,*,*@*,*
10,boto3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/requirements.examples.txt,*,*@*,*
11,paramiko,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/requirements.examples.txt,*,*@*,*
12,visdom,>=0.1.8.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/requirements.examples.txt,*,*@*,*
13,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/setup.py,tests_require,(__name__ == '__main__')@*,*
14,crypten,>=0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
15,google-auth-oauthlib,>=0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
16,certifi,>=2020.4.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
17,webencodings,>=0.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
18,appnope,>=0.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
19,ipython,>=7.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
20,terminado,>=0.8.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
21,ipykernel,>=5.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
22,jsonschema,>=3.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
23,tensorboard-plugin-wit,>=1.6.0.post3,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
24,google-auth,>=1.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
25,backcall,>=0.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
26,future,>=0.18.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
27,tensorboard,>=2.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
28,requests-oauthlib,>=1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
29,parso,>=0.6.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
30,oauthlib,>=3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
31,nbformat,>=5.0.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
32,ptyprocess,>=0.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
33,tornado,>=6.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
34,pyasn1-modules,>=0.2.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
35,bleach,>=3.1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
36,cycler,>=0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
37,ipywidgets,>=7.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
38,QtPy,>=1.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
39,chardet,>=3.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
40,pyzmq,>=19.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
41,protobuf,>=3.11.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
42,pickleshare,>=0.7.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
43,jupyter-core,>=4.6.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
44,pyparsing,>=2.4.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
45,numpy,>=1.18.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
46,Pillow,>=8.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
47,testpath,>=0.4.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
48,importlib-metadata,>=1.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
49,pandocfilters,>=1.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
50,traitlets,>=4.3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
51,torch,>=1.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
52,typing-extensions,>=3.7.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
53,Jinja2,>=2.11.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
54,Werkzeug,>=1.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
55,matplotlib,>=3.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
56,pyrsistent,>=0.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
57,nbconvert,>=5.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/CrypTen/pycon-workshop-2020/requirements.txt,*,*@*,*
