,dep,version,filepath,type,condition,status
0,fastapi,">=0.47.0,<=0.89.1",/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepPavlov/requirements.txt,*,*@*,*
1,pandas,">=1.0.0,<1.6.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepPavlov/requirements.txt,*,*@*,*
2,pydantic,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepPavlov/requirements.txt,*,*@*,*
3,prometheus-client,">=0.13.0,<=1.16.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepPavlov/requirements.txt,*,*@*,*
4,nltk,">=3.2.4,<3.10.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepPavlov/requirements.txt,*,*@*,*
5,requests,">=2.19.0,<3.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepPavlov/requirements.txt,*,*@*,*
6,scipy,<1.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepPavlov/requirements.txt,*,*@*,*
7,numpy,<1.24,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepPavlov/requirements.txt,*,*@*,*
8,filelock,">=3.0.0,<3.10.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepPavlov/requirements.txt,*,*@*,*
9,pybind11,==2.10.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepPavlov/requirements.txt,*,*@*,*
10,tqdm,">=4.42.0,<4.65.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepPavlov/requirements.txt,*,*@*,*
11,scikit-learn,">=0.24,<1.1.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepPavlov/requirements.txt,*,*@*,*
12,uvicorn,">=0.13.0,<0.19.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepPavlov/requirements.txt,*,*@*,*
13,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepPavlov/setup.py,extras_require,(__name__ == '__main__')@*,*
14,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepPavlov/setup.py,extras_require,(__name__ == '__main__')@*,*
15,pytest-instafail,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepPavlov/setup.py,extras_require,(__name__ == '__main__')@*,*
