,dep,version,filepath,type,condition,status
0,webrtcvad,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/requirements_transcribe.txt,*,*@*,*
1,absl-py,==0.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/requirements_eval_tflite.txt,*,*@*,*
2,python-utils,==2.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/requirements_eval_tflite.txt,*,*@*,*
3,attrdict,==2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/requirements_eval_tflite.txt,*,*@*,*
4,progressbar2,==3.47.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/requirements_eval_tflite.txt,*,*@*,*
5,six,==1.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/requirements_eval_tflite.txt,*,*@*,*
6,pandas,==0.25.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/requirements_eval_tflite.txt,*,*@*,*
7,numpy,==1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/requirements_eval_tflite.txt,*,*@*,*
8,deepspeech,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/requirements_eval_tflite.txt,*,*@*,*
9,absl-py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/requirements_tests.txt,*,*@*,*
10,argparse,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/requirements_tests.txt,*,*@*,*
11,semver,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/requirements_tests.txt,*,*@*,*
12,absl-py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/setup.py,install_requires,*@*,*
13,attrdict,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/setup.py,install_requires,*@*,*
14,bs4,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/setup.py,install_requires,*@*,*
15,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/setup.py,install_requires,*@*,*
16,optuna,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/setup.py,install_requires,*@*,*
17,opuslib,==2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/setup.py,install_requires,*@*,*
18,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/setup.py,install_requires,*@*,*
19,progressbar2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/setup.py,install_requires,*@*,*
20,pyogg,>= 0.6.14a1,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/setup.py,install_requires,*@*,*
21,pyxdg,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/setup.py,install_requires,*@*,*
22,resampy,>= 0.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/setup.py,install_requires,*@*,*
23,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/setup.py,install_requires,*@*,*
24,semver,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/setup.py,install_requires,*@*,*
25,six,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/setup.py,install_requires,*@*,*
26,sox,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/setup.py,install_requires,*@*,*
27,soundfile,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/setup.py,install_requires,*@*,*
44,ds_ctcdecoder,=={},/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/setup.py,install_requires,*@*,*
45,tensorflow,==1.15.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/setup.py,install_requires,*@*,*
46,horovod,==0.21.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/setup.py,install_requires,*@*,*
63,pygments,==2.7.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/ci_scripts/docs-requirements.txt,*,*@*,*
64,semver,==2.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/ci_scripts/docs-requirements.txt,*,*@*,*
65,sphinx-rtd-theme,==0.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/ci_scripts/docs-requirements.txt,*,*@*,*
66,sphinx,==2.4.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/ci_scripts/docs-requirements.txt,*,*@*,*
67,sphinx-js,==a24775935443d21028ee4a7025a407c78030c4e7,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/ci_scripts/docs-requirements.txt,*,*@special#B.9,*
68,breathe,==4.14.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeech/ci_scripts/docs-requirements.txt,*,*@*,*
