,dep,version,filepath,bloated,cve,affected versions,advisory
0,diffusers,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeed/requirements/requirements-sd.txt,False,no one,no one,no one
1,triton,==2.0.0.dev20221202,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeed/requirements/requirements-sd.txt,False,no one,no one,no one
2,ninja,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeed/requirements/requirements.txt,False,no one,no one,no one
3,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeed/requirements/requirements.txt,False,CVE-2022-45907,">=0,<1.13.1","Torch 1.13.1 includes a fix for CVE-2022-45907: In PyTorch before trunk/89695, torch.jit.annotations.parse_type_line can cause arbitrary code execution because eval is used unsafely.
https://github.com/pytorch/pytorch/issues/88868"
4,hjson,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeed/requirements/requirements.txt,False,no one,no one,no one
5,pydantic,<2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeed/requirements/requirements.txt,False,CVE-2021-29510,">=1.8.0a1,<1.8.2,>=1.7.0a0,<1.7.4,<1.6.2","Pydantic 1.8.2, 1.7.4 and 1.6.2 include a fix for CVE-2021-29510: In affected versions of Pydantic passing either `'infinity'`, `'inf'` or `float('inf')` (or their negatives) to `datetime` or `date` fields causes validation to run forever with 100% CPU usage (on one CPU). Pydantic has been patched with fixes available in the following versions: v1.8.2, v1.7.4, v1.6.2. All these versions are available on pypi(https://pypi.org/project/pydantic/#history), and will be available on conda-forge(https://anaconda.org/conda-forge/pydantic) soon. See the changelog(https://pydantic-docs.helpmanual.io/) for details. If you absolutely can't upgrade, you can work around this risk using a validator(https://pydantic-docs.helpmanual.io/usage/validators/) to catch these values. This is not an ideal solution (in particular you'll need a slightly different function for datetimes), instead of a hack like this you should upgrade pydantic. If you are not using v1.8.x, v1.7.x or v1.6.x and are unable to upgrade to a fixed version of pydantic, please create an issue at https://github.com/samuelcolvin/pydantic/issues requesting a back-port, and we will endeavour to release a patch for earlier versions of pydantic."
6,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeed/requirements/requirements.txt,False,CVE-2016-10075,<4.11.2,The tqdm._version module in tqdm versions before 4.11.2 allows local users to execute arbitrary code via a crafted repo with a malicious git log in the current working directory.
7,py-cpuinfo,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeed/requirements/requirements.txt,False,no one,no one,no one
8,packaging,>=20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeed/requirements/requirements.txt,False,no one,no one,no one
9,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/DeepSpeed/requirements/requirements.txt,False,CVE-2017-12852,<1.13.2,"Numpy 1.13.2 includes a fix for CVE-2017-12852: The numpy.pad function in Numpy 1.13.1 and older versions is missing input validation. An empty list or ndarray will stick into an infinite loop, which can allow attackers to cause a DoS attack.
https://github.com/numpy/numpy/issues/9560#issuecomment-322395292"
