,dep,version,filepath,type,condition,status
0,tqdm,==4.56.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/EdgeML/tools/SeeDot/requirements.txt,*,*@*,*
1,bokeh,==2.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/EdgeML/tools/SeeDot/requirements.txt,*,*@*,*
2,numpy,==1.16.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/EdgeML/tools/SeeDot/requirements.txt,*,*@*,*
3,scipy,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/EdgeML/tools/SeeDot/requirements.txt,*,*@*,*
4,onnx,==1.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/EdgeML/tools/SeeDot/requirements.txt,*,*@*,*
5,antlr4-python3-runtime,==4.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/EdgeML/tools/SeeDot/requirements.txt,*,*@*,*
6,scikit-learn,==0.19.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/EdgeML/tools/SeeDot/requirements.txt,*,*@*,*
7,tqdm,==4.56.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/EdgeML/tf/requirements-cpu.txt,*,*@*,*
8,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/EdgeML/tf/requirements-cpu.txt,*,*@*,*
9,bokeh,==2.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/EdgeML/tf/requirements-cpu.txt,*,*@*,*
10,jupyter,==1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/EdgeML/tf/requirements-cpu.txt,*,*@*,*
11,numpy,==1.16.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/EdgeML/tf/requirements-cpu.txt,*,*@*,*
12,scipy,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/EdgeML/tf/requirements-cpu.txt,*,*@*,*
13,scikit-learn,==0.21.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/EdgeML/tf/requirements-cpu.txt,*,*@*,*
