,dep,version,filepath,type,condition,status
0,setuptools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
1,boto3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
2,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
3,wheel,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
4,Werkzeug,==0.16.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
5,sklearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
6,flask-cors,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
7,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
8,scipy,>=1.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
9,mlflow,<=1.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
10,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
11,torch,">1.5,<1.10",/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
12,dotmap,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
13,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
14,seqeval,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
15,flask-restplus,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
16,sentencepiece,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
17,dill,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
18,sentence-transformers,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
19,transformers,==4.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/requirements.txt,*,*@*,*
20,fasttext,==0.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,extras_require,@*,*
21,onnxruntime,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,extras_require,@*,*
22,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,tests_require,@*,*
23,setuptools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
24,boto3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
25,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
26,wheel,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
27,Werkzeug,==0.16.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
28,sklearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
29,flask-cors,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
30,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
31,scipy,>=1.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
32,mlflow,<=1.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
33,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
34,torch,">1.5,<1.10",/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
35,dotmap,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
36,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
37,seqeval,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
38,flask-restplus,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
39,sentencepiece,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
40,dill,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
41,sentence-transformers,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
42,transformers,==4.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@*,*
43,farm,==c2e86cdd52242d27702f5f383883b8e3421489ee,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/setup.py,install_requires,*@special#B.9,*
44,farm,==c2e86cdd52242d27702f5f383883b8e3421489ee,/home/daniele/git/NICHE_projects/Repo/Cloneables/FARM/tutorials/sagemaker/source/requirements.txt,*,*@special#B.9,*
