,dep,version,filepath,type,condition,status
0,mkdocs-awesome-pages-plugin,==2.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/FATE/doc/mkdocs/requirements.txt,*,*@*,*
1,GitPython,==3.1.27,/home/daniele/git/NICHE_projects/Repo/Cloneables/FATE/doc/mkdocs/requirements.txt,*,*@*,*
2,mkdocs-simple-hooks,==0.1.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/FATE/doc/mkdocs/requirements.txt,*,*@*,*
3,cachetools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FATE/doc/mkdocs/requirements.txt,*,*@*,*
4,python-markdown-math,==0.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/FATE/doc/mkdocs/requirements.txt,*,*@*,*
5,mkdocs-git-revision-date-plugin,==0.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/FATE/doc/mkdocs/requirements.txt,*,*@*,*
6,ruamel.yaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FATE/doc/mkdocs/requirements.txt,*,*@*,*
7,mkdocs-material,==8.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/FATE/doc/mkdocs/requirements.txt,*,*@*,*
8,peewee,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FATE/doc/mkdocs/requirements.txt,*,*@*,*
9,mkdocs-static-i18n,==0.46,/home/daniele/git/NICHE_projects/Repo/Cloneables/FATE/doc/mkdocs/requirements.txt,*,*@*,*
10,mkdocs-gen-files,==0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/FATE/doc/mkdocs/requirements.txt,*,*@*,*
11,mkdocs-jupyter,==0.21.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/FATE/doc/mkdocs/requirements.txt,*,*@*,*
12,mkdocstrings,==0.19.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/FATE/doc/mkdocs/requirements.txt,*,*@*,*
13,ipython_genutils,==0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/FATE/doc/mkdocs/requirements.txt,*,*@*,*
14,scipy,==1.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/FATE/python/requirements.txt,*,*@*,*
