,dep,version,filepath,type,condition,status
0,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,*,*@*,*
1,cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,*,*@*,*
2,ninja,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,*,*@*,*
3,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,*,*@*,*
4,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,*,*@*,*
5,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,*,*@*,*
6,yacs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,*,*@*,*
7,scikit-image,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,*,*@*,*
8,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,*,*@*,*
9,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/setup.py,install_requires,*@*,*
10,ninja,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/setup.py,install_requires,*@*,*
11,yacs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/setup.py,install_requires,*@*,*
12,cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/setup.py,install_requires,*@*,*
13,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/setup.py,install_requires,*@*,*
14,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/setup.py,install_requires,*@*,*
15,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/setup.py,install_requires,*@*,*
16,scikit-image,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/setup.py,install_requires,*@*,*
