,dep,version,filepath,bloated,cve,affected versions,advisory
0,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,False,no one,no one,no one
1,cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,False,no one,no one,no one
2,ninja,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,False,no one,no one,no one
3,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,False,CVE-2022-45907,">=0,<1.13.1","Torch 1.13.1 includes a fix for CVE-2022-45907: In PyTorch before trunk/89695, torch.jit.annotations.parse_type_line can cause arbitrary code execution because eval is used unsafely.
https://github.com/pytorch/pytorch/issues/88868"
4,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,False,CVE-2016-10075,<4.11.2,The tqdm._version module in tqdm versions before 4.11.2 allows local users to execute arbitrary code via a crafted repo with a malicious git log in the current working directory.
5,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,False,no one,no one,no one
6,yacs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,False,no one,no one,no one
7,scikit-image,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,False,no one,no one,no one
8,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,False,CVE-2016-1517,<3.3.1.11,Opencv-python 3.3.1.11 includes a fix for CVE-2016-1517: OpenCV 3.0.0 allows remote attackers to cause a denial of service (segfault) via vectors involving corrupt chunks.
9,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,False,CVE-2017-12602,<3.3.1.11,"Opencv-python 3.3.1.11 includes a fix for CVE-2017-12602: OpenCV through 3.3 has a denial of service (memory consumption) issue, as demonstrated by the 10-opencv-dos-memory-exhaust test case."
10,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,False,CVE-2017-12603,<3.3.1.11,"Opencv-python 3.3.1.11 includes a fix for CVE-2017-12603: OpenCV through 3.3 has an invalid write in the cv::RLByteStream::getBytes function in modules/imgcodecs/src/bitstrm.cpp when reading an image file by using cv::imread, as demonstrated by the 2-opencv-heapoverflow-fseek test case."
11,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/FCOS/requirements.txt,False,CVE-2017-12597,<3.3.1.11,Opencv-python 3.3.1.11 includes a fix for CVE-2017-12597: OpenCV through 3.3 has an out-of-bounds write error in the function FillColorRow1 in utils.cpp when reading an image file by using cv::imread.
