,dep,version,filepath,type,condition,status
0,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/HDLTex/requirements.txt,*,*@*,*
1,pandas,>=0.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/HDLTex/requirements.txt,*,*@*,*
2,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/HDLTex/requirements.txt,*,*@*,*
3,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/HDLTex/requirements.txt,*,*@*,*
4,numpy,>=1.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/HDLTex/requirements.txt,*,*@*,*
5,matplotlib,>=2.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/HDLTex/requirements.txt,*,*@*,*
6,nltk,>=3.2.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/HDLTex/requirements.txt,*,*@*,*
7,keras,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/HDLTex/requirements.txt,*,*@*,*
8,rmdl,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/HDLTex/requirements.txt,*,*@*,*
9,virtualenv,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/HDLTex/requirements.txt,*,*@*,*
10,matplotlib,>=2.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/HDLTex/setup.py,install_requires,@*,*
11,numpy,>=1.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/HDLTex/setup.py,install_requires,@*,*
12,pandas,>=0.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/HDLTex/setup.py,install_requires,@*,*
13,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/HDLTex/setup.py,install_requires,@*,*
14,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/HDLTex/setup.py,install_requires,@*,*
15,keras,>=2.0.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/HDLTex/setup.py,install_requires,@*,*
16,scikit-learn,>=0.19.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/HDLTex/setup.py,install_requires,@*,*
17,nltk,>=3.2.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/HDLTex/setup.py,install_requires,@*,*
