,dep,version,filepath,type,condition,status
0,Werkzeug,==2.2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
1,numpy,==1.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
2,astor,==0.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
3,idna,==2.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
4,defusedxml,==0.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
5,ipython,==8.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
6,widgetsnbextension,==3.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
7,Keras-Applications,==1.0.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
8,grpcio,==1.53.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
9,win-inet-pton,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
10,Click,==7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
11,seaborn,==0.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
12,PySocks,==1.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
13,Jinja2,==2.11.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
14,tqdm,==4.34.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
15,Send2Trash,==1.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
16,jupyterlab,==1.2.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
17,webencodings,==0.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
18,jupyterlab-server,==0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
19,attrs,==19.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
20,mkl-fft,==1.0.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
21,ipykernel,==5.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
22,prometheus-client,==0.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
23,pyzmq,==18.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
24,termcolor,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
25,absl-py,==0.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
26,traitlets,==4.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
27,jupyter-console,==6.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
28,scikit-learn,==0.21.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
29,decorator,==4.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
30,SoundFile,==0.10.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
31,requests,==2.31.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
32,MarkupSafe,==1.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
33,wincertstore,==0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
34,wcwidth,==0.1.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
35,Markdown,==3.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
36,jupyter-client,==5.2.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/Hey-Jetson/server_requirements.txt,*,*@*,*
