,dep,version,filepath,bloated,cve,affected versions,advisory
0,tensorflow,==1.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Issue-Label-Bot/requirements.txt,False,CVE-2019-9635,<1.12.2,NULL pointer dereference in Google TensorFlow before 1.12.2 could cause a denial of service via an invalid GIF file. See CVE-2019-9635.
1,tensorflow,==1.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Issue-Label-Bot/requirements.txt,False,CVE-2019-16778,<1.15,"Tensorflow 1.15 includes a fix for CVE-2019-16778: In TensorFlow before 1.15, a heap buffer overflow in UnsortedSegmentSum can be produced when the Index template argument is int32. In this case data_size and num_segments fields are truncated from int64 to int32 and can produce negative numbers, resulting in accessing out of bounds heap memory. This is unlikely to be exploitable and was detected and fixed internally in TensorFlow 1.15 and 2.0.
https://github.com/tensorflow/tensorflow/security/advisories/GHSA-844w-j86r-4x2j
https://github.com/tensorflow/tensorflow/blob/master/tensorflow/security/advisory/tfsa-2019-002.md
https://github.com/tensorflow/tensorflow/commit/db4f9717c41bccc3ce10099ab61996b246099892"
2,tensorflow,==1.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Issue-Label-Bot/requirements.txt,False,PVE-2021-37524,<1.15.0,"The original changelog reads: ""Tensorflow 2.0 fixes a potential security vulnerability where decoding variant tensors from proto could result in heap out of bounds memory access."" However, it was later confirmed that the fix was already included in 1.15 and later. See: <https://github.com/tensorflow/tensorflow/issues/37701>."
3,tensorflow,==1.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Issue-Label-Bot/requirements.txt,False,CVE-2019-19244,"<1.15.3,>=2.0.0a0,<2.0.2,>=2.1.0rc0,<2.1.1","Tensorflow versions 1.15.3, 2.0.2 and 2.1.1 updates its dependency ""SQLite3"" to handle CVE-2019-19244."
4,tensorflow,==1.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Issue-Label-Bot/requirements.txt,False,CVE-2019-19880,"<1.15.3,>=2.0.0a0,<2.0.2,>=2.1.0rc0,<2.1.1","Tensorflow versions 1.15.3, 2.0.2 and 2.1.1 update its dependency ""SQLite3"" to handle CVE-2019-19880."
5,tensorflow,==1.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Issue-Label-Bot/requirements.txt,False,CVE-2019-10099,"<1.15.3,>=2.0.0a0,<2.0.2,>=2.1.0rc0,<2.1.1","Tensorflow versions 1.15.3, 2.0.2 and 2.1.1 updates its dependency ""Apache Spark"" to handle CVE-2019-10099."
6,tensorflow,==1.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Issue-Label-Bot/requirements.txt,False,CVE-2018-19664,"<1.15.3,>=2.0.0a0,<2.0.2,>=2.1.0rc0,<2.1.1","Tensorflow versions 1.15.3, 2.0.2 and 2.1.1 updates its dependency ""libjpeg-turbo"" to handle CVE-2018-19664."
7,tensorflow,==1.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Issue-Label-Bot/requirements.txt,False,CVE-2019-13960,"<1.15.3,>=2.0.0a0,<2.0.2,>=2.1.0rc0,<2.1.1","Tensorflow versions 1.15.3, 2.0.2 and 2.1.1 updates its dependency ""libjpeg-turbo"" to handle CVE-2019-13960."
8,tensorflow,==1.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Issue-Label-Bot/requirements.txt,False,CVE-2018-11770,"<1.15.3,>=2.0.0a0,<2.0.2,>=2.1.0rc0,<2.1.1","Tensorflow versions 1.15.3, 2.0.2 and 2.1.1 update its dependency ""Apache Spark"" to handle CVE-2018-11770."
9,tensorflow,==1.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Issue-Label-Bot/requirements.txt,False,CVE-2018-20330,"<1.15.3,>=2.0.0a0,<2.0.2,>=2.1.0rc0,<2.1.1","Tensorflow versions 1.15.3, 2.0.2 and 2.1.1 updates its dependency ""libjpeg-turbo"" to handle CVE-2018-20330."
