,dep,version,filepath,type,condition,status
0,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/requirements-test.txt,*,*@*,*
1,pluggy,"<1,>=0.12.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/requirements-test.txt,*,*@*,*
2,black,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/requirements-test.txt,*,*@*,*
3,tox-travis,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/requirements-test.txt,*,*@*,*
4,tox,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/requirements-test.txt,*,*@*,*
5,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/requirements-test.txt,*,*@*,*
6,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/requirements-test.txt,*,*@*,*
7,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/requirements.txt,*,*@*,*
8,lightgbm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/requirements.txt,*,*@*,*
9,cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/requirements.txt,*,*@*,*
10,kaggle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/requirements.txt,*,*@*,*
11,xgboost,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/requirements.txt,*,*@*,*
12,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/requirements.txt,*,*@*,*
13,statsmodels,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/requirements.txt,*,*@*,*
14,hyperopt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/requirements.txt,*,*@*,*
15,setuptools,>=18.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/setup.py,setup_requires,@*,*
16,cython,>=0.29.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/setup.py,setup_requires,@*,*
17,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/setup.py,setup_requires,@*,*
18,setupmeta,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/setup.py,setup_requires,@*,*
19,sphinxcontrib-napoleon,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/docs/requirements.txt,*,*@*,*
20,kaggler,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/docs/requirements.txt,*,*@*,*
21,lightgbm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/docs/requirements.txt,*,*@*,*
22,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/docs/requirements.txt,*,*@*,*
23,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kaggler/docs/requirements.txt,*,*@*,*
