,dep,version,filepath,type,condition,status
0,gensim,">=3.8.1,<4.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.txt,*,*@*,*
1,numpy,>=1.18.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.txt,*,*@*,*
2,scikit-learn,>=0.21.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.txt,*,*@*,*
3,bert4keras,>=0.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.txt,*,*@*,*
4,pandas,>=1.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.txt,*,*@*,*
5,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.txt,*,*@*,*
6,sphinx-autodoc-typehints,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.dev.txt,*,*@*,*
7,jupyterlab,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.dev.txt,*,*@*,*
8,m2r,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.dev.txt,*,*@*,*
9,mypy,==0.790,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.dev.txt,*,*@*,*
10,coveralls,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.dev.txt,*,*@*,*
11,sphinx-autobuild,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.dev.txt,*,*@*,*
12,sphinx-rtd-theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.dev.txt,*,*@*,*
13,pytest,==5.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.dev.txt,*,*@*,*
14,sphinx-markdown-tables,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.dev.txt,*,*@*,*
15,recommonmark,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.dev.txt,*,*@*,*
16,tabulate,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.dev.txt,*,*@*,*
17,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.dev.txt,*,*@*,*
18,flake8-builtins,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.dev.txt,*,*@*,*
19,flake8,==3.8.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.dev.txt,*,*@*,*
20,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.dev.txt,*,*@*,*
21,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.dev.txt,*,*@*,*
22,pytest-split,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/requirements.dev.txt,*,*@*,*
23,sphinx-autodoc-typehints,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/docs/requirements.txt,*,*@*,*
24,numpy,>=1.18.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/docs/requirements.txt,*,*@*,*
25,tensorflow,>=2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/docs/requirements.txt,*,*@*,*
26,scikit-learn,>=0.21.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/docs/requirements.txt,*,*@*,*
27,sphinx-markdown-tables,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/docs/requirements.txt,*,*@*,*
28,sphinx-autobuild,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/docs/requirements.txt,*,*@*,*
29,sphinx-rtd-theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/docs/requirements.txt,*,*@*,*
30,recommonmark,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/docs/requirements.txt,*,*@*,*
31,pandas,>=1.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/docs/requirements.txt,*,*@*,*
32,bert4keras,>=0.7.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/docs/requirements.txt,*,*@*,*
33,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/docs/requirements.txt,*,*@*,*
34,gensim,>=3.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/docs/requirements.txt,*,*@*,*
35,m2r,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/docs/requirements.txt,*,*@*,*
36,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Kashgari/docs/requirements.txt,*,*@*,*
