,dep,version,filepath,type,condition,status
0,tensorflow,==1.13.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/KungFu/tests/requirements.txt,*,*@*,*
1,pytest,==5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/KungFu/tests/requirements.txt,*,*@*,*
2,numpy,==1.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/KungFu/tests/requirements.txt,*,*@*,*
3,isort,==4.3.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/KungFu/tests/requirements.lint.txt,*,*@*,*
4,autoflake,==1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/KungFu/tests/requirements.lint.txt,*,*@*,*
5,yapf,==0.28.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/KungFu/tests/requirements.lint.txt,*,*@*,*
6,Sphinx,==2.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/KungFu/docs/requirements.txt,*,*@*,*
7,cmake,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/KungFu/docs/requirements.extra.txt,*,*@*,*
8,numpy,==1.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/KungFu/docs/requirements.extra.txt,*,*@*,*
9,tensorflow,==1.12.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/KungFu/docs/requirements.extra.txt,*,*@*,*
