,dep,version,filepath,type,condition,status
0,nibabel,==3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/requirements.txt,*,*@*,*
1,tensorflow,==2.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/requirements.txt,*,*@*,*
2,batchgenerators,==0.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/requirements.txt,*,*@*,*
3,pydicom,==2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/requirements.txt,*,*@*,*
4,tqdm,==4.51.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/requirements.txt,*,*@*,*
5,tensorflow-addons,==0.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/requirements.txt,*,*@*,*
6,numpy,==1.19.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/requirements.txt,*,*@*,*
7,pillow,==8.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/requirements.txt,*,*@*,*
8,SimpleITK,==2.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/requirements.txt,*,*@*,*
9,pandas,==1.1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/requirements.txt,*,*@*,*
10,matplotlib,==3.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/requirements.txt,*,*@*,*
11,scikit-image,==0.18.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/requirements.txt,*,*@*,*
12,tensorflow,==2.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/setup.py,install_requires,@*,*
13,tensorflow-addons,==0.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/setup.py,install_requires,@*,*
14,numpy,==1.19.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/setup.py,install_requires,@*,*
15,pandas,>=1.1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/setup.py,install_requires,@*,*
16,tqdm,==4.51.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/setup.py,install_requires,@*,*
17,nibabel,>=3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/setup.py,install_requires,@*,*
18,matplotlib,==3.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/setup.py,install_requires,@*,*
19,pillow,==8.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/setup.py,install_requires,@*,*
20,batchgenerators,==0.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/setup.py,install_requires,@*,*
21,pydicom,==2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/setup.py,install_requires,@*,*
22,SimpleITK,==2.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/setup.py,install_requires,@*,*
23,scikit-image,==0.18.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/MIScnn/setup.py,install_requires,@*,*
