,dep,version,filepath,type,condition,status
0,numpy,>= 1.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/setup.py,install_requires,@*,*
1,protobuf,>= 3.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/setup.py,install_requires,@*,*
2,six,>= 1.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/setup.py,install_requires,@*,*
3,pillow,>= 6.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/setup.py,install_requires,@*,*
4,coremltools,==2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/requirements/linux-py3.txt,*,*@*,*
5,keras,==2.2.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/requirements/linux-py3.txt,*,*@*,*
6,cntk,==2.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/requirements/linux-py3.txt,*,*@*,*
7,six,==1.14.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/requirements/linux-py3.txt,*,*@*,*
8,setuptools,==46.1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/requirements/linux-py3.txt,*,*@*,*
9,wget,==3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/requirements/linux-py3.txt,*,*@*,*
10,pillow,==6.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/requirements/linux-py3.txt,*,*@*,*
11,torchvision,==0.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/requirements/linux-py3.txt,*,*@*,*
12,pytorch,==0.4.0 or 1.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/requirements/linux-py3.txt,*,*@*,*
13,scikit-image,==0.16.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/requirements/linux-py3.txt,*,*@*,*
14,mxnet,==1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/requirements/linux-py3.txt,*,*@*,*
15,onnx,==1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/requirements/linux-py3.txt,*,*@*,*
16,numpy,==1.18.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/requirements/linux-py3.txt,*,*@*,*
17,tensorflow,==1.15.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/requirements/linux-py3.txt,*,*@*,*
18,protobuf,==3.11.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/requirements/linux-py3.txt,*,*@*,*
19,scipy,==1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/requirements/linux-py3.txt,*,*@*,*
20,onnx-tf,==1.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/MMdnn/requirements/linux-py3.txt,*,*@*,*
