,dep,version,filepath,type,condition,status
0,scikit-image,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/requirements.txt,*,*@*,*
1,simpleitk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/requirements.txt,*,*@*,*
2,tensorflow-gpu,==1.14.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/requirements.txt,*,*@*,*
3,torch,==1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/requirements.txt,*,*@*,*
4,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/requirements.txt,*,*@*,*
5,torchsummary,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/requirements.txt,*,*@*,*
6,sklearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/requirements.txt,*,*@*,*
7,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/requirements.txt,*,*@*,*
8,keras,==2.2.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/requirements.txt,*,*@*,*
9,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/requirements.txt,*,*@*,*
10,scikit-image,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/keras/downstream_tasks/requirements.txt,*,*@*,*
11,simpleitk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/keras/downstream_tasks/requirements.txt,*,*@*,*
12,tensorflow-gpu,==1.14.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/keras/downstream_tasks/requirements.txt,*,*@*,*
13,torch,==1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/keras/downstream_tasks/requirements.txt,*,*@*,*
14,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/keras/downstream_tasks/requirements.txt,*,*@*,*
15,torchsummary,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/keras/downstream_tasks/requirements.txt,*,*@*,*
16,sklearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/keras/downstream_tasks/requirements.txt,*,*@*,*
17,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/keras/downstream_tasks/requirements.txt,*,*@*,*
18,keras,==2.2.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/keras/downstream_tasks/requirements.txt,*,*@*,*
19,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ModelsGenesis/keras/downstream_tasks/requirements.txt,*,*@*,*
