,dep,version,filepath,type,condition,status
0,tensorboard,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/7_yolov3/installation/requirements_colab.txt,*,*@*,*
1,apex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/7_yolov3/installation/requirements_colab.txt,*,*@special#B.9 ,*
2,xmltodict,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/7_yolov3/installation/requirements_colab.txt,*,*@*,*
3,dicttoxml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/7_yolov3/installation/requirements_colab.txt,*,*@*,*
4,torchvision,==0.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/7_yolov3/installation/requirements.txt,*,*@*,*
5,pycocotools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/7_yolov3/installation/requirements.txt,*,*@*,*
6,notebook,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/7_yolov3/installation/requirements.txt,*,*@*,*
7,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/7_yolov3/installation/requirements.txt,*,*@*,*
8,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/7_yolov3/installation/requirements.txt,*,*@*,*
9,tensorboard,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/7_yolov3/installation/requirements.txt,*,*@*,*
10,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/7_yolov3/installation/requirements.txt,*,*@*,*
11,apex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/7_yolov3/installation/requirements.txt,*,*@special#B.9 ,*
12,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/7_yolov3/installation/requirements.txt,*,*@*,*
13,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/7_yolov3/installation/requirements.txt,*,*@*,*
14,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/7_yolov3/installation/requirements.txt,*,*@*,*
15,xmltodict,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/7_yolov3/installation/requirements.txt,*,*@*,*
16,torch,==1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/7_yolov3/installation/requirements.txt,*,*@*,*
17,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/7_yolov3/installation/requirements.txt,*,*@*,*
18,dicttoxml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/7_yolov3/installation/requirements.txt,*,*@*,*
19,xmltodict,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/1_gluoncv_finetune/installation/requirements_colab.txt,*,*@*,*
20,gluoncv,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Monk_Object_Detection/1_gluoncv_finetune/installation/requirements_colab.txt,*,*@*,*
