,dep,version,filepath,type,condition,status
0,backports.functools-lru-cache,==1.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
1,protobuf,==3.11.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
2,six,==1.14.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
3,grpcio,==1.27.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
4,soupsieve,==1.9.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
5,pytest,==6.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
6,astor,==0.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
7,tensorflow,==2.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
8,bleach,==3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
9,Werkzeug,==1.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
10,enum34,==1.1.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
11,tqdm,==4.56.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
12,h5py,==2.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
13,backports.weakref,==1.0rc1,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
14,html5lib,==0.9999999,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
15,numpy,==1.19.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
16,funcsigs,==1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
17,beautifulsoup4,==4.8.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
18,tensorboard,==2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
19,Markdown,==3.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
20,absl-py,==0.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
21,termcolor,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
22,airML,==0.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
23,gast,==0.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
24,mock,==3.0.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
25,rdflib,==5.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/NSpM/requirements.txt,*,*@*,*
