,dep,version,filepath,type,condition,status
0,jiwer,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@*,*
1,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@*,*
2,dash_bootstrap_components,>=1.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@*,*
3,editdistance,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@*,*
4,librosa,>=0.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@*,*
5,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@*,*
6,SoundFile,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@*,*
7,plotly,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@*,*
8,diff_match_patch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@*,*
9,dash,>=2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@*,*
10,gunicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@*,*
11,nemo_toolkit,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@special#B.9 B.11,*
12,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@*,*
13,flask-cors,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@*,*
14,prettyprinter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@*,*
16,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@*,*
17,nemo_text_processing,==0.1.6rc0,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@*,*
18,num2words,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@*,*
19,ctc_segmentation,==1.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@*,*
20,nemo_toolkit,>=1.0.0rc1,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,install_requires,*@*,*
