,dep,version,filepath,bloated,cve,affected versions,advisory
0,jiwer,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,no one,no one,no one
1,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,CVE-2016-10075,<4.11.2,The tqdm._version module in tqdm versions before 4.11.2 allows local users to execute arbitrary code via a crafted repo with a malicious git log in the current working directory.
2,dash_bootstrap_components,>=1.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,no one,no one,no one
3,editdistance,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,no one,no one,no one
4,librosa,>=0.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,no one,no one,no one
5,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,CVE-2017-12852,<1.13.2,"Numpy 1.13.2 includes a fix for CVE-2017-12852: The numpy.pad function in Numpy 1.13.1 and older versions is missing input validation. An empty list or ndarray will stick into an infinite loop, which can allow attackers to cause a DoS attack.
https://github.com/numpy/numpy/issues/9560#issuecomment-322395292"
6,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,CVE-2019-6446,<1.16.3,"Numpy 1.16.3 includes a fix for CVE-2019-6446: It uses the pickle Python module unsafely, which allows remote attackers to execute arbitrary code via a crafted serialized object, as demonstrated by a numpy.load call.
https://github.com/numpy/numpy/commit/89b688732b37616c9d26623f81aaee1703c30ffb"
7,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,CVE-2021-33430,<1.21.0rc1,"Numpy 1.21.0rc1 includes a fix for CVE-2021-33430: A Buffer Overflow vulnerability in the PyArray_NewFromDescr_int function of ctors.c when specifying arrays of large dimensions (over 32) from Python code, which could let a malicious user cause a Denial of Service. 
NOTE: The vendor does not agree this is a vulnerability. In (very limited) circumstances a user may be able provoke the buffer overflow, the user is most likely already privileged to at least provoke denial of service by exhausting memory. Triggering this further requires the use of uncommon API (complicated structured dtypes), which is very unlikely to be available to an unprivileged user.
https://github.com/numpy/numpy/issues/18939"
8,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,CVE-2021-34141,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-34141: An incomplete string comparison in the numpy.core component in NumPy before 1.22.0 allows attackers to trigger slightly incorrect copying by constructing specific string objects. 
NOTE: the vendor states that this reported code behavior is ""completely harmless.""
https://github.com/numpy/numpy/issues/18993"
9,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,CVE-2021-41496,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-41496: Buffer overflow in the array_from_pyobj function of fortranobject.c, which allows attackers to conduct a Denial of Service attacks by carefully constructing an array with negative values. 
NOTE: The vendor does not agree this is a vulnerability; the negative dimensions can only be created by an already privileged user (or internally).
https://github.com/numpy/numpy/issues/19000"
10,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,CVE-2021-41495,<1.22.2,"Numpy 1.22.2  includes a fix for CVE-2021-41495: Null Pointer Dereference vulnerability exists in numpy.sort in NumPy in the PyArray_DescrNew function due to missing return-value validation, which allows attackers to conduct DoS attacks by repetitively creating sort arrays. 
NOTE: While correct that validation is missing, an error can only occur due to an exhaustion of memory. If the user can exhaust memory, they are already privileged. Further, it should be practically impossible to construct an attack which can target the memory exhaustion to occur at exactly this place.
https://github.com/numpy/numpy/issues/19038"
11,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,CVE-2014-1859,<1.8.1,"Numpy 1.8.1 includes a fix for CVE-2014-1859: (1) core/tests/test_memmap.py, (2) core/tests/test_multiarray.py, (3) f2py/f2py2e.py, and (4) lib/tests/test_io.py in NumPy before 1.8.1 allow local users to write to arbitrary files via a symlink attack on a temporary file.
https://github.com/numpy/numpy/pull/4262"
12,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,CVE-2014-1858,<1.8.1,"Numpy 1.8.1 includes a fix for CVE-2014-1858: __init__.py in f2py in NumPy before 1.8.1 allows local users to write to arbitrary files via a symlink attack on a temporary file.
https://github.com/numpy/numpy/commit/0bb46c1448b0d3f5453d5182a17ea7ac5854ee15"
13,SoundFile,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,no one,no one,no one
14,plotly,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,CVE-2017-1000006,<1.12.6,"Plotly 1.12.6 includes Plotly.js v1.16.2, which fixes a potential XSS vulnerability in 'text' fields.
https://github.com/plotly/plotly.js/pull/736
https://plotly.com/chart-studio-help/security-advisories/2016-08-08-plotlyjs-xss-advisory/"
15,plotly,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,CVE-2015-9242,<1.9.6,"Plotly 1.9.6 includes plotly.js version 1.5.2, which contains security fixes."
16,plotly,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,CVE-2015-8858,<1.9.6,"Plotly 1.9.6 includes plotly.js version 1.5.2, which contains security fixes."
17,plotly,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,PVE-2021-37052,<2.0.7,"Plotly 2.0.7 includes Plotly.js 1.25.0, which contains a fix for an XSS vulnerability in a trace name on hover.
https://github.com/plotly/plotly.js/pull/1307"
18,plotly,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,CVE-2019-10775,<4.8.2,"Plotly 4.8.2 includes plotly.js version 1.54.5, which contains a security fix of a transitive dependency (ecstatic)."
19,plotly,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,CVE-2020-7598,<4.9.0,Plotly 4.9.0 builds Javascript extensions using Node 12 with an updated 'package-lock.json' that has many fewer security warnings.
20,diff_match_patch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,no one,no one,no one
21,dash,>=2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/NeMo/setup.py,False,no one,no one,no one
