,dep,version,filepath,type,condition,status
0,bitsandbytes,>=0.39.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/requirements.opt.txt,*,*@*,*
1,pyrouge,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/requirements.opt.txt,*,*@*,*
2,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/requirements.opt.txt,*,*@*,*
3,rapidfuzz,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/requirements.opt.txt,*,*@*,*
4,apex,==700d6825e205732c1d6be511306ca4e595297070,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/requirements.opt.txt,*,*@special#B.9,*
5,sentencepiece,">=0.1.94,<0.1.98",/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/requirements.opt.txt,*,*@*,*
6,safetensors,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/requirements.opt.txt,*,*@*,*
7,subword-nmt,>=0.3.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/requirements.opt.txt,*,*@*,*
8,spacy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/requirements.opt.txt,*,*@*,*
9,torch,">=1.13,<2.1",/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/setup.py,install_requires,@*,*
10,configargparse,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/setup.py,install_requires,@*,*
11,ctranslate2,">=3.2,<4",/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/setup.py,install_requires,@*,*
12,tensorboard,>=2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/setup.py,install_requires,@*,*
13,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/setup.py,install_requires,@*,*
14,waitress,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/setup.py,install_requires,@*,*
15,pyonmttok,">=1.35,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/setup.py,install_requires,@*,*
16,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/setup.py,install_requires,@*,*
17,sacrebleu,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/setup.py,install_requires,@*,*
18,rapidfuzz,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/setup.py,install_requires,@*,*
19,pyahocorasick,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/setup.py,install_requires,@*,*
20,fasttext-wheel,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/setup.py,install_requires,@*,*
21,spacy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/setup.py,install_requires,@*,*
22,sphinxcontrib.mermaid,==0.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/docs/requirements.txt,*,*@*,*
23,sphinx_markdown_tables,==0.0.17,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/docs/requirements.txt,*,*@*,*
24,docutils,==0.19,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/docs/requirements.txt,*,*@*,*
25,sphinx,==6.1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/docs/requirements.txt,*,*@*,*
26,sphinx-rtd-theme,==0.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/docs/requirements.txt,*,*@*,*
27,sphinxcontrib.bibtex,==2.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/docs/requirements.txt,*,*@*,*
28,Jinja2,==3.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/docs/requirements.txt,*,*@*,*
29,sphinx-argparse,==0.2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/docs/requirements.txt,*,*@*,*
30,recommonmark,==0.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-py/docs/requirements.txt,*,*@*,*
