,dep,version,filepath,type,condition,status
0,ctranslate2,">=3.0,<4",/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-tf/setup.py,install_requires,@*,*
1,packaging,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-tf/setup.py,install_requires,@*,*
2,pyonmttok,">=1.29.0,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-tf/setup.py,install_requires,@*,*
3,pyyaml,">=5.3,<7",/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-tf/setup.py,install_requires,@*,*
4,rouge,">=1.0,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-tf/setup.py,install_requires,@*,*
5,sacrebleu,">=1.5.0,<3",/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-tf/setup.py,install_requires,@*,*
6,tensorflow-addons,">=0.16,<0.21",/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-tf/setup.py,install_requires,@*,*
7,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-tf/setup.py,extras_require,*@*,*
8,tensorflow-text,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-tf/setup.py,extras_require,*@*,*
9,black,==22.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-tf/setup.py,extras_require,@*@*,*
10,flake8,==3.9.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-tf/setup.py,extras_require,@*@*,*
11,isort,">=5.9,<6",/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-tf/setup.py,extras_require,@*@*,*
12,parameterized,==0.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-tf/setup.py,extras_require,@*@*,*
13,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-tf/setup.py,extras_require,@*@*,*
24,myst-parser,==0.17.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-tf/setup.py,extras_require,*@*,*
25,sphinx-rtd-theme,==1.0.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-tf/setup.py,extras_require,*@*,*
26,sphinx,==4.5.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-tf/setup.py,extras_require,*@*,*
27,pyonmttok,">=1.14.0,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-tf/examples/serving/tensorflow_serving/requirements.txt,*,*@*,*
28,tensorflow-serving-api,==2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/OpenNMT-tf/examples/serving/tensorflow_serving/requirements.txt,*,*@*,*
