,dep,version,filepath,type,condition,status
0,termcolor,>=1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,install_requires,@*,*
1,pyzmq,==18.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,install_requires,"@ python_version<""3.9""",*
2,pyzmq,==22.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,install_requires,"@ python_version>=""3.9""",*
3,scipy,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,install_requires,@*,*
4,cloudpickle,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,install_requires,"@ python_version<""3""",*
5,cloudpickle,==1.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,install_requires,"@ python_version>=""3""",*
6,tensorboardX,==2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,install_requires,@*,*
7,tensorboard,<=2.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,install_requires,@*,*
8,flask,>=1.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,install_requires,@*,*
9,click,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,install_requires,@*,*
10,psutil,>=5.6.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,install_requires,@*,*
11,flask_cors,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,install_requires,@*,*
12,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,install_requires,@*,*
13,grpcio,==1.37.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,install_requires,@*,*
14,protobuf,">=3.14.0, <=3.20.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,install_requires,@*,*
15,pynvml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,install_requires,@*,*
16,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,*,"*@python_version>=""3""",*
17,gym,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,*,*@*,*
18,details,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,*,*@*,*
19,rarfile,==3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,*,*@*,*
20,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,*,"*@python_version<""3""",*
21,parameterized,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,*,*@*,*
22,details,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/windows_requirements_paddle.txt,*,*@*,*
23,gym,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/windows_requirements_paddle.txt,*,*@*,*
24,paddlepaddle,>=2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/windows_requirements_paddle.txt,*,*@*,*
25,parameterized,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/windows_requirements_paddle.txt,*,*@*,*
26,details,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/windows_requirements_fluid.txt,*,*@*,*
27,gym,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/windows_requirements_fluid.txt,*,*@*,*
28,paddlepaddle,==1.8.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/windows_requirements_fluid.txt,*,*@*,*
29,parameterized,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/windows_requirements_fluid.txt,*,*@*,*
30,details,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements_torch.txt,*,*@*,*
31,gym,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements_torch.txt,*,*@*,*
32,parameterized,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements_torch.txt,*,*@*,*
33,details,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements_fluid.txt,*,*@*,*
34,paddlepaddle-gpu,==1.8.5.post97,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements_fluid.txt,*,*@*,*
35,gym,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements_fluid.txt,*,*@*,*
36,parameterized,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements_fluid.txt,*,*@*,*
37,atari-py,==0.1.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/examples/A2C/requirements.txt,*,*@*,*
38,parl,>=1.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/examples/A2C/requirements.txt,*,*@*,*
39,gym,==0.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/examples/A2C/requirements.txt,*,*@*,*
40,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/examples/A2C/requirements.txt,*,*@*,*
41,paddlepaddle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/examples/A2C/requirements.txt,*,*@*,*
42,parl,>=2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/examples/Baselines/Halite_competition/torch/requirements.txt,*,*@*,*
43,torch,>=1.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/examples/Baselines/Halite_competition/torch/requirements.txt,*,*@*,*
