,dep,version,filepath,bloated,cve,affected versions,advisory
0,termcolor,>=1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,no one,no one,no one
1,pyzmq,==18.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,no one,no one,no one
2,pyzmq,==22.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,no one,no one,no one
3,scipy,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,CVE-2013-4251,">=0,<0.12.1",The scipy.weave component in SciPy before 0.12.1 creates insecure temporary directories.
4,cloudpickle,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,no one,no one,no one
5,cloudpickle,==1.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,no one,no one,no one
6,tensorboardX,==2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,no one,no one,no one
7,tensorboard,<=2.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,True,no one,no one,no one
8,flask,>=1.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,CVE-2023-30861,"<2.2.5,>=2.3.0,<2.3.2","Flask is a lightweight WSGI web application framework. When all of the following conditions are met, a response containing data intended for one client may be cached and subsequently sent by the proxy to other clients. If the proxy also caches 'Set-Cookie' headers, it may send one client's 'session' cookie to other clients. The severity depends on the application's use of the session and the proxy's behavior regarding cookies. The risk depends on all these conditions being met.

1. The application must be hosted behind a caching proxy that does not strip cookies or ignore responses with cookies.
2. The application sets 'session.permanent = True'
3. The application does not access or modify the session at any point during a request.
4. 'SESSION_REFRESH_EACH_REQUEST' enabled (the default).
5. The application does not set a 'Cache-Control' header to indicate that a page is private or should not be cached.

This happens because vulnerable versions of Flask only set the 'Vary: Cookie' header when the session is accessed or modified, not when it is refreshed (re-sent to update the expiration) without being accessed or modified. This issue has been fixed in versions 2.3.2 and 2.2.5."
9,click,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,PVE-2022-47833,<8.0.0,"Click 8.0.0 uses 'mkstemp()' instead of the deprecated & insecure 'mktemp()'.
https://github.com/pallets/click/issues/1752"
10,psutil,>=5.6.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,CVE-2019-18874,<=5.6.5,psutil (aka python-psutil) through 5.6.5 can have a double free. This occurs because of refcount mishandling within a while or for loop that converts system data into a Python object. See CVE-2019-18874.
11,flask_cors,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,no one,no one,no one
12,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,CVE-2014-1830,<2.3.0,Requests before 2.3.0 exposes Authorization or Proxy-Authorization headers on redirect. This fixes CVE-2014-1830.
13,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,CVE-2014-1829,<2.3.0,Requests before 2.3.0 exposes Authorization or Proxy-Authorization headers on redirect. See: CVE-2014-1829.
14,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,CVE-2018-18074,<=2.19.1,"Requests before 2.20.0 sends an HTTP Authorization header to an http URI upon receiving a same-hostname https-to-http redirect, which makes it easier for remote attackers to discover credentials by sniffing the network."
15,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,CVE-2015-2296,">=2.1,<=2.5.3",The resolve_redirects function in sessions.py in requests 2.1.0 through 2.5.3 allows remote attackers to conduct session fixation attacks via a cookie without a host value in a redirect.
16,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,CVE-2023-32681,">=2.3.0,<2.31.0","Requests is a HTTP library. Since Requests 2.3.0, Requests has been leaking Proxy-Authorization headers to destination servers when redirected to an HTTPS endpoint. This is a product of how we use 'rebuild_proxies' to reattach the 'Proxy-Authorization' header to requests. For HTTP connections sent through the tunnel, the proxy will identify the header in the request itself and remove it prior to forwarding to the destination server. However when sent over HTTPS, the 'Proxy-Authorization' header must be sent in the CONNECT request as the proxy has no visibility into the tunneled request. This results in Requests forwarding proxy credentials to the destination server unintentionally, allowing a malicious actor to potentially exfiltrate sensitive information. This issue has been patched in version 2.31.0.

"
17,grpcio,==1.37.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,no one,no one,no one
18,protobuf,">=3.14.0, <=3.20.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,CVE-2021-22570,<3.15.0,"Protobuf 3.15.0 includes a fix for CVE-2021-22570: Nullptr dereference when a null char is present in a proto symbol. The symbol is parsed incorrectly, leading to an unchecked call into the proto file's name during generation of the resulting error message. Since the symbol is incorrectly parsed, the file is nullptr."
19,protobuf,">=3.14.0, <=3.20.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,CVE-2022-1941,"<3.18.3,>=3.19.0rc0,<3.19.5,>=3.20.0rc0,<3.20.2,>=4.0.0rc0,<4.21.6","A parsing vulnerability for the MessageSet type in the ProtocolBuffers versions prior to and including 3.16.1, 3.17.3, 3.18.2, 3.19.4, 3.20.1 and 3.21.5 for protobuf-cpp, and versions prior to and including 3.16.1, 3.17.3, 3.18.2, 3.19.4, 3.20.1 and 4.21.5 for protobuf-python can lead to out of memory failures. A specially crafted message with multiple key-value per elements creates parsing issues, and can lead to a Denial of Service against services receiving unsanitized input. We recommend upgrading to versions 3.18.3, 3.19.5, 3.20.2, 3.21.6 for protobuf-cpp and 3.18.3, 3.19.5, 3.20.2, 4.21.6 for protobuf-python. Versions for 3.16 and 3.17 are no longer updated."
20,protobuf,">=3.14.0, <=3.20.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,CVE-2015-5237,<3.4.0,"Protobuf 3.4.0 includes a fix for CVE-2015-5237: Integer overflow in serialization.
https://github.com/protocolbuffers/protobuf/issues/760"
21,pynvml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/setup.py,False,no one,no one,no one
22,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2019-7317,"<3.4.18,>=4.0.0,<4.6.0",Opencv-python 3.4.18 and 4.6.0 pin its dependency 'libpng' to v1.6.37 to include a security fix.
23,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2022-0778,"<3.4.18,>=4.0.0,<4.6.0",Opencv-python 3.4.18 and 4.6.0 update its dependency 'openssl' to v1_1_1o to include security fixes.
24,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2022-1292,"<3.4.18,>=4.0.0,<4.6.0",Opencv-python 3.4.18 and 4.6.0 update its dependency 'openssl' to v1_1_1o to include security fixes.
25,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2022-27406,"<3.4.18,>=4.0.0,<4.6.0",Opencv-python 3.4.18 and 4.6.0 pin its dependency 'freetype' to v2.12.1 to include a security fix.
26,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2022-37434,<4.7.0,Opencv-python 4.7.0 updates its C dependency 'zlib' to v1.2.13 to include a security fix.
27,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2022-2097,<4.7.0,Opencv-python 4.7.0 updates its dependency 'OpenSSL' to v1.1.1s to include security fixes.
28,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2022-1475,<4.7.0,Opencv-python 4.7.0 updates its C dependency 'FFmpeg' to v5.1.2 to include a security fix.
29,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2022-2068,<4.7.0,Opencv-python 4.7.0 updates its dependency 'OpenSSL' to v1.1.1s to include security fixes.
30,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2017-12864,">=0,<3.3.1.11","In opencv/modules/imgcodecs/src/grfmt_pxm.cpp, function ReadNumber did not checkout the input length, which lead to integer overflow. If the image is from remote, may lead to remote code execution or denial of service. This affects OpenCV 3.3 (corresponding with OpenCV-Python version 3.3.0.9) and earlier."
31,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2017-12605,">=0,<3.3.1.11",OpenCV (Open Source Computer Vision Library) through 3.3 (corresponding to OpenCV-Python and OpenCV-Contrib-Python 3.3.0.9) has an out-of-bounds write error in the FillColorRow8 function in utils.cpp when reading an image file by using cv::imread.
32,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2017-1000450,">=0,<3.3.1.11","In opencv/modules/imgcodecs/src/utils.cpp, functions FillUniColor and FillUniGray do not check the input length, which can lead to integer overflow. If the image is from remote, may lead to remote code execution or denial of service. This affects Opencv 3.3 (corresponding with OpenCV-Python 3.3.0.9) and earlier."
33,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2017-12863,">=0,<3.3.1.11","In opencv/modules/imgcodecs/src/grfmt_pxm.cpp, function PxMDecoder::readData has an integer overflow when calculate src_pitch. If the image is from remote, may lead to remote code execution or denial of service. This affects OpenCV 3.3 (corresponding to OpenCV-Python 3.3.0.9) and earlier."
34,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2016-1516,">=0,<3.3.1.11",OpenCV 3.0.0 has a double free issue that allows attackers to execute arbitrary code. This issue was fixed in OpenCV version 3.3.1 (corresponding to OpenCV-Python and and OpenCV-Contrib-Python 3.3.1.11).
35,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2017-14136,">=0,<3.3.1.11",OpenCV (Open Source Computer Vision Library) 3.3 (corresponding to OpenCV-Python 3.3.0.9) has an out-of-bounds write error in the function FillColorRow1 in utils.cpp when reading an image file by using cv::imread. NOTE: this vulnerability exists because of an incomplete fix for CVE-2017-12597.
36,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2017-12862,">=0,<3.3.1.11","In modules/imgcodecs/src/grfmt_pxm.cpp, the length of buffer AutoBuffer _src is small than expected, which will cause copy buffer overflow later. If the image is from remote, may lead to remote code execution or denial of service. This affects OpenCV 3.3 (corresponding to OpenCV-Python 3.3.0.9) and earlier."
37,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2017-17760,">=0,<3.4.0.12","OpenCV 3.3.1 (corresponding with opencv-python and opencv-contrib-python 3.3.1.11) has a Buffer Overflow in the cv::PxMDecoder::readData function in grfmt_pxm.cpp, because an incorrect size value is used."
38,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2017-18009,">=0,<3.4.1.15","In OpenCV 3.3.1 (corresponding with OpenCV-Python 3.3.1.11), a heap-based buffer over-read exists in the function cv::HdrDecoder::checkSignature in modules/imgcodecs/src/grfmt_hdr.cpp."
39,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2018-5268,">=0,<3.4.1.15","In OpenCV 3.3.1 (corresponding with OpenCV-Python 3.3.1.11), a heap-based buffer overflow happens in cv::Jpeg2KDecoder::readComponent8u in modules/imgcodecs/src/grfmt_jpeg2000.cpp when parsing a crafted image file."
40,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2018-5269,">=0,<3.4.1.15","In OpenCV 3.3.1 (corresponds with OpenCV-Python 3.3.1.11), an assertion failure happens in cv::RBaseStream::setPos in modules/imgcodecs/src/bitstrm.cpp because of an incorrect integer cast."
41,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2019-14493,">=0,<4.1.1.26",An issue was discovered in OpenCV before 4.1.1 (OpenCV-Python before 4.1.1.26). There is a NULL pointer dereference in the function cv::XMLParser::parse at modules/core/src/persistence.cpp.
42,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2019-14492,">=4.0.0.21,<4.1.1.26,<3.4.7.28","Opencv-python 4.1.1.26 and 3.4.7.28 include a fix for CVE-2019-14492: An issue was discovered in OpenCV before 3.4.7 and 4.x before 4.1.1. There is an out of bounds read/write in the function HaarEvaluator::OptFeature::calc in modules/objdetect/src/cascadedetect.hpp, which leads to denial of service."
43,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2019-14491,">=4.0.0.21,<4.1.1.26,<3.4.7.28","Opencv-python 4.1.1.26 and 3.4.7.28 include a fix for CVE-2019-14491: An issue was discovered in OpenCV before 3.4.7 and 4.x before 4.1.1. There is an out of bounds read in the function cv::predictOrdered<cv::HaarEvaluator> in modules/objdetect/src/cascadedetect.hpp, which leads to denial of service."
44,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2019-5063,">=4.0.0.21,<4.2.0.32","Opencv-python 4.2.0.32 includes a fix for CVE-2019-5063: An exploitable heap buffer overflow vulnerability exists in the data structure persistence functionality of OpenCV 4.1.0. A specially crafted XML file can cause a buffer overflow, resulting in multiple heap corruptions and potential code execution. An attacker can provide a specially crafted file to trigger this vulnerability."
45,opencv-python,<=4.3.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2019-5064,">=4.0.0.21,<4.2.0.32","Opencv-python 4.2.0.32 includes a fix for  CVE-2019-5064: An exploitable heap buffer overflow vulnerability exists in the data structure persistence functionality of OpenCV, before version 4.2.0. A specially crafted JSON file can cause a buffer overflow, resulting in multiple heap corruptions and potentially code execution. An attacker can provide a specially crafted file to trigger this vulnerability."
46,gym,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,no one,no one,no one
47,details,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,no one,no one,no one
48,rarfile,==3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,no one,no one,no one
49,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2019-7317,"<3.4.18,>=4.0.0,<4.6.0",Opencv-python 3.4.18 and 4.6.0 pin its dependency 'libpng' to v1.6.37 to include a security fix.
50,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2022-0778,"<3.4.18,>=4.0.0,<4.6.0",Opencv-python 3.4.18 and 4.6.0 update its dependency 'openssl' to v1_1_1o to include security fixes.
51,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2022-1292,"<3.4.18,>=4.0.0,<4.6.0",Opencv-python 3.4.18 and 4.6.0 update its dependency 'openssl' to v1_1_1o to include security fixes.
52,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2022-27406,"<3.4.18,>=4.0.0,<4.6.0",Opencv-python 3.4.18 and 4.6.0 pin its dependency 'freetype' to v2.12.1 to include a security fix.
53,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2022-37434,<4.7.0,Opencv-python 4.7.0 updates its C dependency 'zlib' to v1.2.13 to include a security fix.
54,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2022-2097,<4.7.0,Opencv-python 4.7.0 updates its dependency 'OpenSSL' to v1.1.1s to include security fixes.
55,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2022-1475,<4.7.0,Opencv-python 4.7.0 updates its C dependency 'FFmpeg' to v5.1.2 to include a security fix.
56,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2022-2068,<4.7.0,Opencv-python 4.7.0 updates its dependency 'OpenSSL' to v1.1.1s to include security fixes.
57,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2017-12864,">=0,<3.3.1.11","In opencv/modules/imgcodecs/src/grfmt_pxm.cpp, function ReadNumber did not checkout the input length, which lead to integer overflow. If the image is from remote, may lead to remote code execution or denial of service. This affects OpenCV 3.3 (corresponding with OpenCV-Python version 3.3.0.9) and earlier."
58,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2017-12605,">=0,<3.3.1.11",OpenCV (Open Source Computer Vision Library) through 3.3 (corresponding to OpenCV-Python and OpenCV-Contrib-Python 3.3.0.9) has an out-of-bounds write error in the FillColorRow8 function in utils.cpp when reading an image file by using cv::imread.
59,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2017-1000450,">=0,<3.3.1.11","In opencv/modules/imgcodecs/src/utils.cpp, functions FillUniColor and FillUniGray do not check the input length, which can lead to integer overflow. If the image is from remote, may lead to remote code execution or denial of service. This affects Opencv 3.3 (corresponding with OpenCV-Python 3.3.0.9) and earlier."
60,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2017-12863,">=0,<3.3.1.11","In opencv/modules/imgcodecs/src/grfmt_pxm.cpp, function PxMDecoder::readData has an integer overflow when calculate src_pitch. If the image is from remote, may lead to remote code execution or denial of service. This affects OpenCV 3.3 (corresponding to OpenCV-Python 3.3.0.9) and earlier."
61,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2016-1516,">=0,<3.3.1.11",OpenCV 3.0.0 has a double free issue that allows attackers to execute arbitrary code. This issue was fixed in OpenCV version 3.3.1 (corresponding to OpenCV-Python and and OpenCV-Contrib-Python 3.3.1.11).
62,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2017-14136,">=0,<3.3.1.11",OpenCV (Open Source Computer Vision Library) 3.3 (corresponding to OpenCV-Python 3.3.0.9) has an out-of-bounds write error in the function FillColorRow1 in utils.cpp when reading an image file by using cv::imread. NOTE: this vulnerability exists because of an incomplete fix for CVE-2017-12597.
63,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2017-12862,">=0,<3.3.1.11","In modules/imgcodecs/src/grfmt_pxm.cpp, the length of buffer AutoBuffer _src is small than expected, which will cause copy buffer overflow later. If the image is from remote, may lead to remote code execution or denial of service. This affects OpenCV 3.3 (corresponding to OpenCV-Python 3.3.0.9) and earlier."
64,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2017-17760,">=0,<3.4.0.12","OpenCV 3.3.1 (corresponding with opencv-python and opencv-contrib-python 3.3.1.11) has a Buffer Overflow in the cv::PxMDecoder::readData function in grfmt_pxm.cpp, because an incorrect size value is used."
65,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2017-18009,">=0,<3.4.1.15","In OpenCV 3.3.1 (corresponding with OpenCV-Python 3.3.1.11), a heap-based buffer over-read exists in the function cv::HdrDecoder::checkSignature in modules/imgcodecs/src/grfmt_hdr.cpp."
66,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2018-5268,">=0,<3.4.1.15","In OpenCV 3.3.1 (corresponding with OpenCV-Python 3.3.1.11), a heap-based buffer overflow happens in cv::Jpeg2KDecoder::readComponent8u in modules/imgcodecs/src/grfmt_jpeg2000.cpp when parsing a crafted image file."
67,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2018-5269,">=0,<3.4.1.15","In OpenCV 3.3.1 (corresponds with OpenCV-Python 3.3.1.11), an assertion failure happens in cv::RBaseStream::setPos in modules/imgcodecs/src/bitstrm.cpp because of an incorrect integer cast."
68,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2019-14493,">=0,<4.1.1.26",An issue was discovered in OpenCV before 4.1.1 (OpenCV-Python before 4.1.1.26). There is a NULL pointer dereference in the function cv::XMLParser::parse at modules/core/src/persistence.cpp.
69,opencv-python,==4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/PARL/.teamcity/requirements.txt,False,CVE-2019-14492,">=4.0.0.21,<4.1.1.26,<3.4.7.28","Opencv-python 4.1.1.26 and 3.4.7.28 include a fix for CVE-2019-14492: An issue was discovered in OpenCV before 3.4.7 and 4.x before 4.1.1. There is an out of bounds read/write in the function HaarEvaluator::OptFeature::calc in modules/objdetect/src/cascadedetect.hpp, which leads to denial of service."
