,dep,version,filepath,type,condition,status
0,simplerepresentations,>=0.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyShortTextCategorization/test_requirements.txt,*,*@*,*
1,torch,>=1.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyShortTextCategorization/requirements.txt,*,*@*,*
2,Cython,>=0.29.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyShortTextCategorization/requirements.txt,*,*@*,*
3,tensorflow,>=2.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyShortTextCategorization/requirements.txt,*,*@*,*
4,joblib,>=0.14,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyShortTextCategorization/requirements.txt,*,*@*,*
5,pandas,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyShortTextCategorization/requirements.txt,*,*@*,*
6,scikit-learn,>=0.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyShortTextCategorization/requirements.txt,*,*@*,*
7,transformers,>=4.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyShortTextCategorization/requirements.txt,*,*@*,*
8,snowballstemmer,>=2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyShortTextCategorization/requirements.txt,*,*@*,*
9,gensim,>=4.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyShortTextCategorization/requirements.txt,*,*@*,*
10,Flask,>=2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyShortTextCategorization/requirements.txt,*,*@*,*
11,scipy,>=1.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyShortTextCategorization/requirements.txt,*,*@*,*
12,numpy,>=1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyShortTextCategorization/requirements.txt,*,*@*,*
13,keras,>=2.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyShortTextCategorization/requirements.txt,*,*@*,*
14,numba,>=0.52.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyShortTextCategorization/requirements.txt,*,*@*,*
15,python-Levenshtein,>=0.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyShortTextCategorization/requirements.txt,*,*@*,*
16,Cython,>=0.29.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyShortTextCategorization/setup_requirements.txt,*,*@*,*
17,scipy,>=1.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyShortTextCategorization/setup_requirements.txt,*,*@*,*
18,numpy,>=1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyShortTextCategorization/setup_requirements.txt,*,*@*,*
