,dep,version,filepath,bloated,cve,affected versions,advisory
0,yapf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/requirements.txt,False,no one,no one,no one
1,wheel,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/requirements.txt,False,CVE-2022-40898,<0.38.1,"Wheel 0.38.1 includes a fix for CVE-2022-40898: An issue discovered in Python Packaging Authority (PyPA) Wheel 0.37.1 and earlier allows remote attackers to cause a denial of service via attacker controlled input to wheel cli.
https://pyup.io/posts/pyup-discovers-redos-vulnerabilities-in-top-python-packages"
2,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/requirements.txt,False,no one,no one,no one
3,mock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/requirements.txt,False,no one,no one,no one
4,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/requirements.txt,False,no one,no one,no one
5,codecov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/requirements.txt,False,CVE-2019-10800,<2.0.16,"Codecov 2.0.16 includes a fix for CVE-2019-10800: Remote code execution. The vulnerability exists due to improper sanitization of ""gcov"" arguments before being provided to the ""popen"" method. A remote authenticated attacker can execute arbitrary OS commands on the target system."
6,codecov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/requirements.txt,False,PVE-2021-38075,<2.0.17,Codecov 2.0.17 fixes a reported command injection vulnerability.
7,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/requirements.txt,False,CVE-2020-11023,<3.0.4,Sphinx 3.0.4 updates jQuery version from 3.4.1 to 3.5.1 for security reasons.
8,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/requirements.txt,False,CVE-2020-11022,<3.0.4,Sphinx 3.0.4 updates jQuery version from 3.4.1 to 3.5.1 for security reasons.
9,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/requirements.txt,False,no one,no one,no one
10,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/requirements.txt,False,no one,no one,no one
11,coverage,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/requirements.txt,False,no one,no one,no one
12,sphinx-autobuild,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/requirements.txt,False,no one,no one,no one
13,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/setup.py,False,CVE-2017-12852,<1.13.2,"Numpy 1.13.2 includes a fix for CVE-2017-12852: The numpy.pad function in Numpy 1.13.1 and older versions is missing input validation. An empty list or ndarray will stick into an infinite loop, which can allow attackers to cause a DoS attack.
https://github.com/numpy/numpy/issues/9560#issuecomment-322395292"
14,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/setup.py,False,CVE-2019-6446,<1.16.3,"Numpy 1.16.3 includes a fix for CVE-2019-6446: It uses the pickle Python module unsafely, which allows remote attackers to execute arbitrary code via a crafted serialized object, as demonstrated by a numpy.load call.
https://github.com/numpy/numpy/commit/89b688732b37616c9d26623f81aaee1703c30ffb"
15,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/setup.py,False,CVE-2021-33430,<1.21.0rc1,"Numpy 1.21.0rc1 includes a fix for CVE-2021-33430: A Buffer Overflow vulnerability in the PyArray_NewFromDescr_int function of ctors.c when specifying arrays of large dimensions (over 32) from Python code, which could let a malicious user cause a Denial of Service. 
NOTE: The vendor does not agree this is a vulnerability. In (very limited) circumstances a user may be able provoke the buffer overflow, the user is most likely already privileged to at least provoke denial of service by exhausting memory. Triggering this further requires the use of uncommon API (complicated structured dtypes), which is very unlikely to be available to an unprivileged user.
https://github.com/numpy/numpy/issues/18939"
16,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/setup.py,False,CVE-2021-34141,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-34141: An incomplete string comparison in the numpy.core component in NumPy before 1.22.0 allows attackers to trigger slightly incorrect copying by constructing specific string objects. 
NOTE: the vendor states that this reported code behavior is ""completely harmless.""
https://github.com/numpy/numpy/issues/18993"
17,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/setup.py,False,CVE-2021-41496,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-41496: Buffer overflow in the array_from_pyobj function of fortranobject.c, which allows attackers to conduct a Denial of Service attacks by carefully constructing an array with negative values. 
NOTE: The vendor does not agree this is a vulnerability; the negative dimensions can only be created by an already privileged user (or internally).
https://github.com/numpy/numpy/issues/19000"
18,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/setup.py,False,CVE-2021-41495,<1.22.2,"Numpy 1.22.2  includes a fix for CVE-2021-41495: Null Pointer Dereference vulnerability exists in numpy.sort in NumPy in the PyArray_DescrNew function due to missing return-value validation, which allows attackers to conduct DoS attacks by repetitively creating sort arrays. 
NOTE: While correct that validation is missing, an error can only occur due to an exhaustion of memory. If the user can exhaust memory, they are already privileged. Further, it should be practically impossible to construct an attack which can target the memory exhaustion to occur at exactly this place.
https://github.com/numpy/numpy/issues/19038"
19,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/setup.py,False,CVE-2014-1859,<1.8.1,"Numpy 1.8.1 includes a fix for CVE-2014-1859: (1) core/tests/test_memmap.py, (2) core/tests/test_multiarray.py, (3) f2py/f2py2e.py, and (4) lib/tests/test_io.py in NumPy before 1.8.1 allow local users to write to arbitrary files via a symlink attack on a temporary file.
https://github.com/numpy/numpy/pull/4262"
20,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/setup.py,False,CVE-2014-1858,<1.8.1,"Numpy 1.8.1 includes a fix for CVE-2014-1858: __init__.py in f2py in NumPy before 1.8.1 allows local users to write to arbitrary files via a symlink attack on a temporary file.
https://github.com/numpy/numpy/commit/0bb46c1448b0d3f5453d5182a17ea7ac5854ee15"
21,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/setup.py,False,CVE-2016-10075,<4.11.2,The tqdm._version module in tqdm versions before 4.11.2 allows local users to execute arbitrary code via a crafted repo with a malicious git log in the current working directory.
22,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/examples/snli/requirements.txt,False,CVE-2022-45907,">=0,<1.13.1","Torch 1.13.1 includes a fix for CVE-2022-45907: In PyTorch before trunk/89695, torch.jit.annotations.parse_type_line can cause arbitrary code execution because eval is used unsafely.
https://github.com/pytorch/pytorch/issues/88868"
23,torchnlp,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/examples/snli/requirements.txt,False,no one,no one,no one
24,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/PyTorch-NLP/examples/awd-lstm-lm/requirements.txt,False,CVE-2017-12852,<1.13.2,"Numpy 1.13.2 includes a fix for CVE-2017-12852: The numpy.pad function in Numpy 1.13.1 and older versions is missing input validation. An empty list or ndarray will stick into an infinite loop, which can allow attackers to cause a DoS attack.
https://github.com/numpy/numpy/issues/9560#issuecomment-322395292"
