,dep,version,filepath,type,condition,status
0,qiskit,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
1,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
2,lxml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
3,keras,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
4,fake_useragent,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
5,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
6,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
7,scikit-fuzzy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
8,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
9,beautifulsoup4,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
10,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
11,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
12,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
13,statsmodels,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
14,yulewalker,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
15,projectq,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
16,sympy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
17,texttable,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
18,xgboost,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
19,tweepy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
20,qiskit-aer,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
21,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
22,rich,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/Python/requirements.txt,*,*@*,*
