,dep,version,filepath,bloated,cve,affected versions,advisory
0,h5py,>=2.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/PytorchWaveNetVocoder/setup.py,False,no one,no one,no one
1,scikit-learn,==0.22.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/PytorchWaveNetVocoder/setup.py,False,PVE-2022-52255,<0.24.2,"Scikit-learn 0.24.2 includes a fix for a ReDoS vulnerability.
https://github.com/scikit-learn/scikit-learn/issues/19522"
2,scikit-learn,==0.22.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/PytorchWaveNetVocoder/setup.py,False,CVE-2020-13092,">=0,<0.23.1","** DISPUTED ** scikit-learn (aka sklearn) through 0.23.0 can unserialize and execute commands from an untrusted file that is passed to the joblib.load() function, if __reduce__ makes an os.system call. NOTE: third parties dispute this issue because the joblib.load() function is documented as unsafe and it is the user's responsibility to use the function in a secure manner."
3,scikit-learn,==0.22.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/PytorchWaveNetVocoder/setup.py,False,CVE-2020-28975,">=0,<0.24.dev0","** DISPUTED ** svm_predict_values in svm.cpp in Libsvm v324, as used in scikit-learn 0.23.2 and other products, allows attackers to cause a denial of service (segmentation fault) via a crafted model SVM (introduced via pickle, json, or any other model permanence standard) with a large value in the _n_support array. NOTE: the scikit-learn vendor's position is that the behavior can only occur if the library's API is violated by an application that changes a private attribute."
4,librosa,>=0.6.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/PytorchWaveNetVocoder/setup.py,False,no one,no one,no one
5,soundfile,>=0.10.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/PytorchWaveNetVocoder/setup.py,False,no one,no one,no one
6,torch,>=1.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/PytorchWaveNetVocoder/setup.py,False,CVE-2022-45907,">=0,<1.13.1","Torch 1.13.1 includes a fix for CVE-2022-45907: In PyTorch before trunk/89695, torch.jit.annotations.parse_type_line can cause arbitrary code execution because eval is used unsafely.
https://github.com/pytorch/pytorch/issues/88868"
7,torchvision,>=0.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/PytorchWaveNetVocoder/setup.py,False,no one,no one,no one
8,sprocket-vc,>=0.18.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/PytorchWaveNetVocoder/setup.py,False,no one,no one,no one
9,matplotlib,>=3.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/PytorchWaveNetVocoder/setup.py,False,no one,no one,no one
