,dep,version,filepath,type,condition,status
0,scikit-learn,>=0.19.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/RMDL/requirements.txt,*,*@*,*
1,tensorflow,>=2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/RMDL/requirements.txt,*,*@*,*
2,numpy,>=1.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/RMDL/requirements.txt,*,*@*,*
3,keras,>=2.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/RMDL/requirements.txt,*,*@*,*
4,scipy,>=1.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/RMDL/requirements.txt,*,*@*,*
5,pandas,>=0.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/RMDL/requirements.txt,*,*@*,*
6,nltk,>=3.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/RMDL/requirements.txt,*,*@*,*
7,virtualenv,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/RMDL/requirements.txt,*,*@*,*
8,matplotlib,>=2.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/RMDL/requirements.txt,*,*@*,*
9,matplotlib,>=2.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/RMDL/setup.py,install_requires,@*,*
10,numpy,>=1.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/RMDL/setup.py,install_requires,@*,*
11,pandas,>=0.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/RMDL/setup.py,install_requires,@*,*
12,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/RMDL/setup.py,install_requires,@*,*
13,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/RMDL/setup.py,install_requires,@*,*
14,keras,>=2.0.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/RMDL/setup.py,install_requires,@*,*
15,scikit-learn,>=0.19.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/RMDL/setup.py,install_requires,@*,*
16,nltk,>=3.2.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/RMDL/setup.py,install_requires,@*,*
