,dep,version,filepath,type,condition,status
0,lark-parser,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/requirements.txt,*,*@*,*
1,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/requirements.txt,*,*@*,*
2,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/requirements.txt,*,*@*,*
3,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/requirements.txt,*,*@*,*
4,arff,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/requirements.txt,*,*@*,*
5,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/requirements.txt,*,*@*,*
6,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/requirements.txt,*,*@*,*
7,joblib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/requirements.txt,*,*@*,*
8,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/requirements.txt,*,*@*,*
9,dataclasses,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/requirements.txt,*,*@*,*
10,statsmodels,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/requirements.txt,*,*@*,*
11,ete3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/requirements.txt,*,*@*,*
12,sympy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/requirements.txt,*,*@*,*
13,PyQt5,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/requirements.txt,*,*@*,*
14,pydot,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/requirements.txt,*,*@*,*
15,networkx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/requirements.txt,*,*@*,*
16,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/docs/requirements.txt,*,*@*,*
17,seaborn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/docs/requirements.txt,*,*@*,*
18,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/docs/requirements.txt,*,*@*,*
19,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/docs/requirements.txt,*,*@*,*
20,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/docs/requirements.txt,*,*@*,*
21,sphinx_gallery,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/SPFlow/docs/requirements.txt,*,*@*,*
