,dep,version,filepath,type,condition,status
0,black,==22.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/requirements-dev.txt,*,*@*,*
1,pre-commit,==2.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/requirements-dev.txt,*,*@*,*
2,clang-format,==14.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/requirements-dev.txt,*,*@*,*
3,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/tools/perf/requirements.txt,*,*@*,*
4,argparse,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/tools/perf/requirements.txt,*,*@*,*
5,pandas,==2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/tools/perf/requirements.txt,*,*@*,*
6,yaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/tools/perf/requirements.txt,*,*@*,*
7,packaging,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/py/requirements.txt,*,*@*,*
8,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/py/requirements.txt,*,*@*,*
9,pybind11,==2.6.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/py/requirements.txt,*,*@*,*
10,torchvision,==0.16.0.dev20230703+cu121,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/py/requirements.txt,*,*@*,*
11,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/py/requirements.txt,*,*@*,*
12,tensorrt,==8.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/py/requirements.txt,*,*@*,*
13,torch,==2.1.0.dev20230703+cu121,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/py/requirements.txt,*,*@*,*
14,sphinx,==4.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/docsrc/requirements.txt,*,*@*,*
15,nbsphinx,==0.8.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/docsrc/requirements.txt,*,*@*,*
16,docutils,==0.17.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/docsrc/requirements.txt,*,*@*,*
17,breathe,==4.33.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/docsrc/requirements.txt,*,*@*,*
18,pytorch_sphinx_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/docsrc/requirements.txt,*,*@special#B.9 B.11,*
19,exhale,==0.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/docsrc/requirements.txt,*,*@*,*
20,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/tests/py/ts/requirements.txt,*,*@*,*
21,transformers,==4.30.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/tests/modules/requirements.txt,*,*@*,*
22,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/tests/modules/requirements.txt,*,*@*,*
23,timm,==v0.9.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/tests/modules/requirements.txt,*,*@*,*
24,PyGithub,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/.github/scripts/requirements.txt,*,*@*,*
25,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/examples/int8/training/vgg16/requirements.txt,*,*@*,*
26,pytorch-quantization,>=2.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/examples/int8/training/vgg16/requirements.txt,*,*@*,*
27,tensorboard,>=1.14.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/examples/int8/training/vgg16/requirements.txt,*,*@*,*
28,nvidia-pyindex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TRTorch/examples/int8/training/vgg16/requirements.txt,*,*@*,*
