,dep,version,filepath,type,condition,status
0,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
1,gdown,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
2,tensorboardX,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
3,librosa,==0.7.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
4,phonemizer,>=2.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
5,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
6,tensorflow,==2.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
7,cardboardlint,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
8,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
9,soundfile,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
10,pylint,==2.5.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
11,bokeh,==1.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
12,torch,>=1.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
13,pysbd,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
14,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
15,nose,==1.3.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
16,numpy,==1.17.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
17,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
18,umap-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
19,numba,==0.48,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
20,pyworld,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
21,unidecode,==0.4.20,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
22,scipy,>=0.19.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
23,cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
24,inflect,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,*,*@*,*
25,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
26,tensorboardX,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
27,librosa,==0.7.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
28,phonemizer,>=2.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
29,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
30,tensorflow,==2.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
31,cardboardlint,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
32,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
33,attrdict,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
34,soundfile,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
35,numpy,>=1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
36,bokeh,==1.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
37,torch,>=1.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
38,pysbd,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
39,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
40,nose,==1.3.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
41,numba,==0.48,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
42,unidecode,==0.4.20,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
43,scipy,>=0.19.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
44,cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
45,inflect,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements_tests.txt,*,*@*,*
46,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
47,gdown,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
48,tensorboardX,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
49,librosa,==0.7.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
50,phonemizer,>=2.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
51,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
52,tensorflow,==2.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
53,cardboardlint,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
54,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
55,soundfile,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
56,pylint,==2.5.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
57,bokeh,==1.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
58,torch,>=1.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
59,pysbd,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
60,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
61,nose,==1.3.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
62,numpy,==1.17.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
63,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
64,umap-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
65,numba,==0.48,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
66,pyworld,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
67,unidecode,==0.4.20,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
68,scipy,>=0.19.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
69,cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
70,inflect,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
71,numpy,>=1.17.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
73,r,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/setup.py,install_requires,*@*,*
74,numpy,>=1.17.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/TTS/speaker_encoder/requirements.txt,*,*@*,*
75,umap-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/TTS/speaker_encoder/requirements.txt,*,*@*,*
