,dep,version,filepath,bloated,cve,affected versions,advisory
0,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,False,CVE-2016-10075,<4.11.2,The tqdm._version module in tqdm versions before 4.11.2 allows local users to execute arbitrary code via a crafted repo with a malicious git log in the current working directory.
1,gdown,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,False,no one,no one,no one
2,tensorboardX,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,False,no one,no one,no one
3,librosa,==0.7.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,False,no one,no one,no one
4,phonemizer,>=2.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,False,no one,no one,no one
5,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,False,CVE-2019-1010083,<0.12.3,"Flask 0.12.3 includes a fix for CVE-2019-1010083: Unexpected memory usage. The impact is denial of service. The attack vector is crafted encoded JSON data. NOTE: this may overlap CVE-2018-1000656.
https://github.com/pallets/flask/pull/2695/commits/0e1e9a04aaf29ab78f721cfc79ac2a691f6e3929"
6,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,False,CVE-2018-1000656,<0.12.3,flask version Before 0.12.3 contains a CWE-20: Improper Input Validation vulnerability in flask that can result in Large amount of memory usage possibly leading to denial of service. This attack appear to be exploitable via Attacker provides JSON data in incorrect encoding. This vulnerability appears to have been fixed in 0.12.3.
7,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,False,PVE-2021-25820,<0.6.1,flask 0.6.1 fixes a security problem that allowed clients to download arbitrary files  if the host server was a windows based operating system and the client  uses backslashes to escape the directory the files where exposed from.
8,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,False,CVE-2023-30861,"<2.2.5,>=2.3.0,<2.3.2","Flask is a lightweight WSGI web application framework. When all of the following conditions are met, a response containing data intended for one client may be cached and subsequently sent by the proxy to other clients. If the proxy also caches 'Set-Cookie' headers, it may send one client's 'session' cookie to other clients. The severity depends on the application's use of the session and the proxy's behavior regarding cookies. The risk depends on all these conditions being met.

1. The application must be hosted behind a caching proxy that does not strip cookies or ignore responses with cookies.
2. The application sets 'session.permanent = True'
3. The application does not access or modify the session at any point during a request.
4. 'SESSION_REFRESH_EACH_REQUEST' enabled (the default).
5. The application does not set a 'Cache-Control' header to indicate that a page is private or should not be cached.

This happens because vulnerable versions of Flask only set the 'Vary: Cookie' header when the session is accessed or modified, not when it is refreshed (re-sent to update the expiration) without being accessed or modified. This issue has been fixed in versions 2.3.2 and 2.2.5."
9,tensorflow,==2.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/TTS/requirements.txt,False,CVE-2019-19244,"<1.15.3,>=2.0.0a0,<2.0.2,>=2.1.0rc0,<2.1.1","Tensorflow versions 1.15.3, 2.0.2 and 2.1.1 updates its dependency ""SQLite3"" to handle CVE-2019-19244."
