,dep,version,filepath,type,condition,status
0,arabic-reshaper,==2.1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/requirements.txt,*,*@*,*
1,requests,>=2.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/requirements.txt,*,*@*,*
2,opencv-python,>=4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/requirements.txt,*,*@*,*
3,wikipedia,>=1.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/requirements.txt,*,*@*,*
4,diffimg,==0.2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/requirements.txt,*,*@*,*
5,tqdm,>=4.23.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/requirements.txt,*,*@*,*
6,pillow,>=7.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/requirements.txt,*,*@*,*
7,python-bidi,==0.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/requirements.txt,*,*@*,*
8,requests,>=2.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/requirements-hw.txt,*,*@*,*
9,opencv-python,>=4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/requirements-hw.txt,*,*@*,*
10,numpy,">=1.16.4,<1.17",/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/requirements-hw.txt,*,*@*,*
11,diffimg,==0.2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/requirements-hw.txt,*,*@*,*
12,tqdm,>=4.23.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/requirements-hw.txt,*,*@*,*
13,pillow,>=7.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/requirements-hw.txt,*,*@*,*
14,beautifulsoup4,>=4.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/requirements-hw.txt,*,*@*,*
15,tensorflow,">=1.13.1,<1.14",/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/requirements-hw.txt,*,*@*,*
16,seaborn,>=0.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/requirements-hw.txt,*,*@*,*
17,matplotlib,>=3.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/requirements-hw.txt,*,*@*,*
18,pillow,>=7.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/setup.py,install_requires,@*,*
19,requests,>=2.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/setup.py,install_requires,@*,*
20,opencv-python,>=4.2.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/setup.py,install_requires,@*,*
21,tqdm,>=4.23.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/setup.py,install_requires,@*,*
22,wikipedia,>=1.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/setup.py,install_requires,@*,*
23,diffimg,==0.2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/setup.py,install_requires,@*,*
24,arabic-reshaper,==2.1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/setup.py,install_requires,@*,*
25,python-bidi,==0.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/TextRecognitionDataGenerator/setup.py,install_requires,@*,*
