,dep,version,filepath,type,condition,status
0,progressbar2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TrainYourOwnYOLO/requirements.txt,*,*@*,*
1,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TrainYourOwnYOLO/requirements.txt,*,*@*,*
2,tensorflow,==2.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/TrainYourOwnYOLO/requirements.txt,*,*@*,*
3,black,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TrainYourOwnYOLO/requirements.txt,*,*@*,*
4,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TrainYourOwnYOLO/requirements.txt,*,*@*,*
5,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TrainYourOwnYOLO/requirements.txt,*,*@*,*
6,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TrainYourOwnYOLO/requirements.txt,*,*@*,*
7,wandb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TrainYourOwnYOLO/requirements.txt,*,*@*,*
8,gdown,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/TrainYourOwnYOLO/requirements.txt,*,*@*,*
9,Keras,==2.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/TrainYourOwnYOLO/requirements.txt,*,*@*,*
