,dep,version,filepath,type,condition,status
0,keras2onnx,==1.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Windows-Machine-Learning/Tools/WinMLDashboard/public/requirements.txt,*,*@*,*
1,Keras,==2.2.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/Windows-Machine-Learning/Tools/WinMLDashboard/public/requirements.txt,*,*@*,*
2,protobuf,==3.17.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/Windows-Machine-Learning/Tools/WinMLDashboard/public/requirements.txt,*,*@*,*
3,lightgbm,==2.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/Windows-Machine-Learning/Tools/WinMLDashboard/public/requirements.txt,*,*@*,*
4,onnxconverter-common,==1.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Windows-Machine-Learning/Tools/WinMLDashboard/public/requirements.txt,*,*@*,*
5,Keras-Preprocessing,==1.0.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/Windows-Machine-Learning/Tools/WinMLDashboard/public/requirements.txt,*,*@*,*
6,scikit-learn,==0.20.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Windows-Machine-Learning/Tools/WinMLDashboard/public/requirements.txt,*,*@*,*
7,h5py,==2.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Windows-Machine-Learning/Tools/WinMLDashboard/public/requirements.txt,*,*@*,*
8,tf2onnx,==1.9.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/Windows-Machine-Learning/Tools/WinMLDashboard/public/requirements.txt,*,*@*,*
9,scipy,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Windows-Machine-Learning/Tools/WinMLDashboard/public/requirements.txt,*,*@*,*
10,skl2onnx,==1.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/Windows-Machine-Learning/Tools/WinMLDashboard/public/requirements.txt,*,*@*,*
11,coremltools_windows,==2.0b1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Windows-Machine-Learning/Tools/WinMLDashboard/public/requirements.txt,*,*@*,*
12,tensorflow,==1.12.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/Windows-Machine-Learning/Tools/WinMLDashboard/public/requirements.txt,*,*@*,*
13,libsvm,==3.23.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/Windows-Machine-Learning/Tools/WinMLDashboard/public/requirements.txt,*,*@*,*
14,onnxmltools,==1.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Windows-Machine-Learning/Tools/WinMLDashboard/public/requirements.txt,*,*@*,*
15,xgboost,==0.81,/home/daniele/git/NICHE_projects/Repo/Cloneables/Windows-Machine-Learning/Tools/WinMLDashboard/public/requirements.txt,*,*@*,*
16,Keras-Applications,==1.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/Windows-Machine-Learning/Tools/WinMLDashboard/public/requirements.txt,*,*@*,*
17,PyYAML,==4.2b1,/home/daniele/git/NICHE_projects/Repo/Cloneables/Windows-Machine-Learning/Tools/WinMLDashboard/public/requirements.txt,*,*@*,*
