,dep,version,filepath,type,condition,status
0,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adaptnlp/rest/translation/requirements.txt,*,*@*,*
1,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adaptnlp/rest/translation/requirements.txt,*,*@*,*
2,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adaptnlp/rest/token-tagging/requirements.txt,*,*@*,*
3,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adaptnlp/rest/token-tagging/requirements.txt,*,*@*,*
4,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adaptnlp/rest/summarization/requirements.txt,*,*@*,*
5,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adaptnlp/rest/summarization/requirements.txt,*,*@*,*
6,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adaptnlp/rest/sequence-classification/requirements.txt,*,*@*,*
7,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adaptnlp/rest/sequence-classification/requirements.txt,*,*@*,*
8,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adaptnlp/rest/question-answering/requirements.txt,*,*@*,*
9,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adaptnlp/rest/question-answering/requirements.txt,*,*@*,*
10,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adaptnlp/rest/text-generation/requirements.txt,*,*@*,*
11,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adaptnlp/rest/text-generation/requirements.txt,*,*@*,*
12,mkautodoc,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adaptnlp/docs/requirements.txt,*,*@*,*
13,mkdocs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adaptnlp/docs/requirements.txt,*,*@*,*
14,mkdocs-material,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adaptnlp/docs/requirements.txt,*,*@*,*
15,mkautodoc,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adaptnlp/docs/_site/requirements.txt,*,*@*,*
16,mkdocs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adaptnlp/docs/_site/requirements.txt,*,*@*,*
17,mkdocs-material,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adaptnlp/docs/_site/requirements.txt,*,*@*,*
