,dep,version,filepath,type,condition,status
0,ray,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements.txt,*,*@*,*
1,Pillow,>=6.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements.txt,*,*@*,*
2,statsmodels,>=0.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements.txt,*,*@*,*
3,matplotlib,>=3.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements.txt,*,*@*,*
4,GitPython,>=2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements.txt,*,*@*,*
5,boto3,>=1.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements.txt,*,*@*,*
6,awscli,>=1.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements.txt,*,*@*,*
7,seaborn,>=0.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements.txt,*,*@*,*
8,pymongo,>=3.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements.txt,*,*@*,*
9,sacred,>=0.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements.txt,*,*@*,*
10,gym,==0.15.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements.txt,*,*@*,*
11,Theano,>=1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements.txt,*,*@*,*
12,pandas,>=0.24.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements.txt,*,*@*,*
13,numpy,>=1.15,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements.txt,*,*@*,*
14,scikit-learn,>=0.20.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements.txt,*,*@*,*
15,tensorflow,">=1.13.0,<1.14.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements-build.txt,*,*@*,*
16,codecov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements-dev.txt,*,*@*,*
17,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements-dev.txt,*,*@*,*
18,black,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements-dev.txt,*,*@*,*
19,flake8-blind-except,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements-dev.txt,*,*@*,*
20,isort,~=4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements-dev.txt,*,*@*,*
21,pytest-xdist,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements-dev.txt,*,*@*,*
22,flake8-builtins,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements-dev.txt,*,*@*,*
23,flake8-isort,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements-dev.txt,*,*@*,*
24,flake8-debugger,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements-dev.txt,*,*@*,*
25,pytype,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements-dev.txt,*,*@*,*
26,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements-dev.txt,*,*@*,*
27,pytest-shard,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements-dev.txt,*,*@*,*
28,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements-dev.txt,*,*@*,*
29,codespell,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-policies/requirements-dev.txt,*,*@*,*
