,dep,version,filepath,type,condition,status
0,matplotlib,==3.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
1,scikit-learn,">=0.22.2,<1.2.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
2,pytest-cov,~=4.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
3,requests,~=2.31.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
4,jax,==0.4.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
5,scipy,==1.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
6,torchaudio,==0.13.1+cpu,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
7,librosa,==0.10.0.post2,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
8,numba,~=0.56.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
9,cma,==3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
10,tensorflow,==2.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
11,pandas,==2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
12,tensorflow-addons,>=0.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
13,tqdm,==4.65.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
14,statsmodels,==0.13.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
15,pytest-flake8,~=1.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
16,numpy,">=1.18.5,<1.25",/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
17,keras,==2.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
18,pytest,~=7.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
19,torchvision,==0.14.1+cpu,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
20,sortedcontainers,==2.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
21,ffmpeg-python,==0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
22,torch,==1.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
23,catboost,==1.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
24,tensorboardX,==2.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
25,six,==1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
26,flake8,~=4.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
27,mxnet-native,==1.8.0.post0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
28,pytest-mock,~=3.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
29,resampy,==0.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
30,xgboost,==1.7.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
31,lightgbm,==3.3.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
32,h5py,==3.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
33,GPy,==1.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
34,Pillow,==9.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
35,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
36,kornia,~=0.6.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
37,lief,==0.12.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
38,pydub,==0.25.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/requirements_test.txt,*,*@*,*
39,catboost,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
40,GPy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
41,keras,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
42,h5py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
43,lightgbm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
44,mxnet,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
45,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
46,tensorflow_addons,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
51,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
52,ffmpeg-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
53,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
57,pydub,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
58,resampy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
59,librosa,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
60,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
61,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
64,kornia,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
70,torchaudio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
74,xgboost,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
75,tensorflow-gpu,==2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
76,lingvo,==0.6.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
84,tensorflow-addons,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
89,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
91,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
93,statsmodels,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
97,cma,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
100,numba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/adversarial-robustness-toolbox/setup.py,extras_require,@*,*
