,dep,version,filepath,type,condition,status
0,urllib3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/notebooks/samples/tensorflow/sentiment_analysis/listener/requirements.txt,*,*@*,*
1,google-cloud-pubsub,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/notebooks/samples/tensorflow/sentiment_analysis/listener/requirements.txt,*,*@*,*
2,tenacity,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/notebooks/samples/tensorflow/sentiment_analysis/listener/requirements.txt,*,*@*,*
3,tweepy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/notebooks/samples/tensorflow/sentiment_analysis/listener/requirements.txt,*,*@*,*
4,google-cloud-language,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/notebooks/samples/tensorflow/sentiment_analysis/dataflow/requirements.txt,*,*@*,*
5,cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/notebooks/samples/tensorflow/sentiment_analysis/dataflow/requirements.txt,*,*@*,*
6,apache-beam,==2.37.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/notebooks/samples/tensorflow/sentiment_analysis/dataflow/requirements.txt,*,*@*,*
7,google-api-python-client,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/notebooks/samples/tensorflow/sentiment_analysis/dataflow/requirements.txt,*,*@*,*
8,google-api-core,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/notebooks/samples/tensorflow/sentiment_analysis/dataflow/requirements.txt,*,*@*,*
9,numpy,==1.22.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/.cloud-build/requirements.txt,*,*@*,*
10,jupyter,==1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/.cloud-build/requirements.txt,*,*@*,*
11,papermill,==2.3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/.cloud-build/requirements.txt,*,*@*,*
12,virtualenv,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/.cloud-build/requirements.txt,*,*@*,*
13,ipython,==8.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/.cloud-build/requirements.txt,*,*@*,*
14,matplotlib,==3.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/.cloud-build/requirements.txt,*,*@*,*
15,tabulate,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/.cloud-build/requirements.txt,*,*@*,*
16,pandas,==1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/.cloud-build/requirements.txt,*,*@*,*
17,nbconvert,==6.4.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/.cloud-build/requirements.txt,*,*@*,*
18,google-cloud-aiplatform,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/.cloud-build/cleanup/cleanup-requirements.txt,*,*@*,*
19,tensorflow-serving-api,==1.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/prediction/tools/model_warmup/requirements.txt,*,*@*,*
20,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/prediction/tools/model_warmup/requirements.txt,*,*@*,*
21,google-api-python-client,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/prediction/xgboost/structured/base/setup.py,install_requires,*@*,*
22,google-api-python-client,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/prediction/sklearn/structured/base/setup.py,install_requires,*@*,*
23,google-api-python-client,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/prediction/sklearn/structured/custom_routines/setup.py,install_requires,*@*,*
24,tensorflow,==2.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/training/xgboost/structured/base/setup.py,install_requires,*@*,*
25,scikit-learn,==1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/training/xgboost/structured/base/setup.py,install_requires,*@*,*
26,pandas,==1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/training/xgboost/structured/base/setup.py,install_requires,*@*,*
27,xgboost,==1.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/training/xgboost/structured/base/setup.py,install_requires,*@*,*
28,cloudml-hypertune,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/training/xgboost/structured/base/setup.py,install_requires,*@*,*
29,google-cloud-storage,>=1.14.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/training/pytorch/structured/python_package/setup.py,install_requires,*@*,*
30,pandas,>=0.23.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/training/pytorch/structured/python_package/setup.py,install_requires,*@*,*
31,torch,==1.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/training/pytorch/structured/custom_containers/base/requirements.txt,*,*@*,*
32,pandas,==1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/training/pytorch/structured/custom_containers/base/requirements.txt,*,*@*,*
33,google-cloud-storage,==2.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/training/pytorch/structured/custom_containers/base/requirements.txt,*,*@*,*
34,torch,==1.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ai-platform-samples/training/pytorch/structured/custom_containers/gpu/requirements.txt,*,*@*,*
