,dep,version,filepath,type,condition,status
0,sortedcontainers,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/aima-python/requirements.txt,*,*@*,*
1,image,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/aima-python/requirements.txt,*,*@*,*
2,keras,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/aima-python/requirements.txt,*,*@*,*
3,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/aima-python/requirements.txt,*,*@*,*
4,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/aima-python/requirements.txt,*,*@*,*
5,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/aima-python/requirements.txt,*,*@*,*
6,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/aima-python/requirements.txt,*,*@*,*
7,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/aima-python/requirements.txt,*,*@*,*
8,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/aima-python/requirements.txt,*,*@*,*
9,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/aima-python/requirements.txt,*,*@*,*
10,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/aima-python/requirements.txt,*,*@*,*
11,qpsolvers,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/aima-python/requirements.txt,*,*@*,*
12,cvxopt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/aima-python/requirements.txt,*,*@*,*
13,networkx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/aima-python/requirements.txt,*,*@*,*
14,ipython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/aima-python/requirements.txt,*,*@*,*
15,ipywidgets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/aima-python/requirements.txt,*,*@*,*
16,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/aima-python/requirements.txt,*,*@*,*
17,ipythonblocks,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/aima-python/requirements.txt,*,*@*,*
