,dep,version,filepath,type,condition,status
0,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/setup.py,extras_require,@*,*
1,imgaug,>=0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/setup.py,extras_require,@*,*
4,numpy,>=1.11.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/setup.py,install_requires,*@*,*
5,scipy,>=1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/setup.py,install_requires,*@*,*
6,scikit-image,>=0.16.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/setup.py,install_requires,*@*,*
7,PyYAML,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/setup.py,install_requires,*@*,*
8,qudida,>=0.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/setup.py,install_requires,*@*,*
9,opencv-python,>=4.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/setup.py,install_requires,*@*,*
10,opencv-contrib-python,>=4.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/setup.py,install_requires,*@*,*
11,opencv-contrib-python-headless,>=4.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/setup.py,install_requires,*@*,*
12,opencv-python-headless,>=4.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/setup.py,install_requires,*@*,*
13,solt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/benchmark/requirements.txt,*,*@*,*
14,imgaug,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/benchmark/requirements.txt,*,*@*,*
15,albumentations,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/benchmark/requirements.txt,*,*@*,*
16,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/benchmark/requirements.txt,*,*@*,*
17,pillow-simd,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/benchmark/requirements.txt,*,*@*,*
18,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/benchmark/requirements.txt,*,*@*,*
19,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/benchmark/requirements.txt,*,*@*,*
20,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/benchmark/requirements.txt,*,*@*,*
21,Augmentor,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/benchmark/requirements.txt,*,*@*,*
22,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/benchmark/requirements.txt,*,*@*,*
23,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/benchmark/requirements.txt,*,*@*,*
24,keras,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/benchmark/requirements.txt,*,*@*,*
25,pytablewriter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/albumentations/benchmark/requirements.txt,*,*@*,*
