,dep,version,filepath,type,condition,status
0,tqdm,>=4.62,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
1,spacy,>=2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
2,sentencepiece,>=0.1.96,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
3,jsonnet,>=0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@ sys.platform != 'win32',*
4,sacremoses,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
5,requests,>=2.28,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
6,nltk,>=3.6.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
7,more-itertools,>=8.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
8,lmdb,>=1.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
9,termcolor,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
10,protobuf,>=3.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
11,filelock,>=3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
12,h5py,>=3.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
13,pytest,>=6.2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
14,checklist,>=0.0.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
15,transformers,>=4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
16,traitlets,>5.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
17,cached-path,>=1.1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
18,torch,>=1.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
19,fairscale,==0.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
20,dataclasses,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@python_version<'3.7',*
21,huggingface_hub,>=0.0.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
22,base58,>=2.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
23,typer,>=0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
24,dill,>=0.3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
25,scikit-learn,>=1.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
26,wandb,>=0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
27,tensorboardX,>=1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
28,numpy,>=1.21.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,*,*@*,*
