,dep,version,filepath,bloated,cve,affected versions,advisory
0,tqdm,>=4.62,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,False,no one,no one,no one
1,spacy,>=2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,False,no one,no one,no one
2,sentencepiece,>=0.1.96,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,False,no one,no one,no one
3,jsonnet,>=0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,False,no one,no one,no one
4,sacremoses,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,False,no one,no one,no one
5,requests,>=2.28,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,False,CVE-2015-2296,">=2.1,<=2.5.3",The resolve_redirects function in sessions.py in requests 2.1.0 through 2.5.3 allows remote attackers to conduct session fixation attacks via a cookie without a host value in a redirect.
6,requests,>=2.28,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,False,CVE-2023-32681,">=2.3.0,<2.31.0","Requests is a HTTP library. Since Requests 2.3.0, Requests has been leaking Proxy-Authorization headers to destination servers when redirected to an HTTPS endpoint. This is a product of how we use 'rebuild_proxies' to reattach the 'Proxy-Authorization' header to requests. For HTTP connections sent through the tunnel, the proxy will identify the header in the request itself and remove it prior to forwarding to the destination server. However when sent over HTTPS, the 'Proxy-Authorization' header must be sent in the CONNECT request as the proxy has no visibility into the tunneled request. This results in Requests forwarding proxy credentials to the destination server unintentionally, allowing a malicious actor to potentially exfiltrate sensitive information. This issue has been patched in version 2.31.0.

"
7,nltk,>=3.6.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,False,CVE-2019-14751,">=0,<3.4.5","NLTK Downloader before 3.4.5 is vulnerable to a directory traversal, allowing attackers to write arbitrary files via a (dot dot slash) in an NLTK package (ZIP archive) that is mishandled during extraction."
8,nltk,>=3.6.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,False,CVE-2021-3828,">=0,<3.6.4",Nltk before 3.6.4 is vulnerable to Inefficient Regular Expression Complexity.
9,nltk,>=3.6.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/allennlp/requirements.txt,False,CVE-2021-3842,">=0,<3.6.6",Nltk before 3.6.6 is vulnerable to Inefficient Regular Expression Complexity.
