,dep,version,filepath,type,condition,status
0,transformers,==4.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker_neo_compilation_jobs/deploy_huggingface_model_on_Inf1_instance/code/requirements.txt,*,*@*,*
1,seaborn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker_processing/scikit_learn_data_processing_and_model_evaluation/code/requirements.txt,*,*@*,*
2,keras,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker_processing/scikit_learn_data_processing_and_model_evaluation/code/requirements.txt,*,*@*,*
3,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker_processing/scikit_learn_data_processing_and_model_evaluation/code/requirements.txt,*,*@*,*
4,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker_processing/scikit_learn_data_processing_and_model_evaluation/code/requirements.txt,*,*@*,*
5,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker_processing/scikit_learn_data_processing_and_model_evaluation/code/requirements.txt,*,*@*,*
6,papermill,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/reinforcement_learning/test_requirements.txt,*,*@*,*
7,tabulate,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/reinforcement_learning/test_requirements.txt,*,*@*,*
8,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/reinforcement_learning/test_requirements.txt,*,*@*,*
9,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/reinforcement_learning/rl_game_server_autopilot/ap-server/requirements.txt,*,*@*,*
10,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/reinforcement_learning/rl_game_server_autopilot/ap-server/requirements.txt,*,*@*,*
11,gym-unity,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/reinforcement_learning/rl_unity_ray/src/requirements.txt,*,*@*,*
12,mlagents-envs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/reinforcement_learning/rl_unity_ray/src/requirements.txt,*,*@*,*
13,pip,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/reinforcement_learning/rl_unity_ray/src/requirements.txt,*,*@*,*
14,sagemaker-containers,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/reinforcement_learning/rl_unity_ray/src/requirements.txt,*,*@*,*
15,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker-inference-recommender/tensorflow-cloudwatch/code/requirements.txt,*,*@*,*
16,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker-inference-recommender/tensorflow-cloudwatch/code/requirements.txt,*,*@*,*
17,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker-remote-function/pytorch_mnist_sample_notebook/requirements.txt,*,*@*,*
18,sagemaker,">=2.156.0,<3",/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker-remote-function/pytorch_mnist_sample_notebook/requirements.txt,*,*@*,*
19,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker-remote-function/pytorch_mnist_sample_notebook/requirements.txt,*,*@*,*
20,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker-remote-function/pytorch_mnist_sample_notebook/requirements.txt,*,*@*,*
21,s3fs,==0.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker-remote-function/xgboost_abalone/requirements.txt,*,*@*,*
22,xgboost,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker-remote-function/xgboost_abalone/requirements.txt,*,*@*,*
23,sagemaker,">=2.156.0,<3",/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker-remote-function/xgboost_abalone/requirements.txt,*,*@*,*
24,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker-remote-function/xgboost_abalone/requirements.txt,*,*@*,*
25,sagemaker,">=2.156.0,<3",/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker-remote-function/quick_start/requirements.txt,*,*@*,*
26,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker-remote-function/quick_start/requirements.txt,*,*@*,*
27,sagemaker,">=2.148.0,<3",/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker-remote-function/quick_start/incompatible_requirements.txt,*,*@*,*
28,pandas,==1.3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/sagemaker-remote-function/quick_start/incompatible_requirements.txt,*,*@*,*
29,sagemaker,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/advanced_functionality/autogluon-sagemaker-pipeline/setup.py,install_requires,*@*,*
30,black,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/advanced_functionality/autogluon-sagemaker-pipeline/setup.py,extras_require,*@*,*
31,coverage,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/advanced_functionality/autogluon-sagemaker-pipeline/setup.py,extras_require,*@*,*
32,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/advanced_functionality/autogluon-sagemaker-pipeline/setup.py,extras_require,*@*,*
33,mock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/advanced_functionality/autogluon-sagemaker-pipeline/setup.py,extras_require,*@*,*
34,pydocstyle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/advanced_functionality/autogluon-sagemaker-pipeline/setup.py,extras_require,*@*,*
35,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/advanced_functionality/autogluon-sagemaker-pipeline/setup.py,extras_require,*@*,*
36,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/advanced_functionality/autogluon-sagemaker-pipeline/setup.py,extras_require,*@*,*
38,tox,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/amazon-sagemaker-examples/advanced_functionality/autogluon-sagemaker-pipeline/setup.py,extras_require,*@*,*
