,dep,version,filepath,type,condition,status
0,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements-test.txt,*,*@*,*
1,cloudpickle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements-test.txt,*,*@*,*
2,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements-test.txt,*,*@*,*
3,xarray-einstats,>=0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements.txt,*,*@*,*
4,packaging,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements.txt,*,*@*,*
5,numpy,">=1.21.0,<2.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements.txt,*,*@*,*
6,matplotlib,>=3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements.txt,*,*@*,*
7,typing_extensions,>=4.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements.txt,*,*@*,*
8,setuptools,>=60.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements.txt,*,*@*,*
9,pandas,>=1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements.txt,*,*@*,*
10,h5netcdf,>=1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements.txt,*,*@*,*
11,scipy,>=1.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements.txt,*,*@*,*
12,xarray,>=0.21.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements.txt,*,*@*,*
13,beanmachine,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements-external.txt,*,*@*,*
14,emcee,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements-external.txt,*,*@*,*
15,cmdstanpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements-external.txt,*,*@*,*
16,pyro-ppl,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements-external.txt,*,*@*,*
17,torch,<2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements-external.txt,*,*@*,*
18,pystan,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements-external.txt,*,*@*,*
19,numpyro,>=0.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements-external.txt,*,*@*,*
20,pyjags,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements-external.txt,*,*@*,*
21,netcdf4,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements-optional.txt,*,*@*,*
22,numba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements-optional.txt,*,*@*,*
23,contourpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements-optional.txt,*,*@*,*
24,xarray-datatree,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements-optional.txt,*,*@*,*
25,ujson,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements-optional.txt,*,*@*,*
26,bokeh,">=1.4.0,<3.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements-optional.txt,*,*@*,*
27,zarr,>=2.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements-optional.txt,*,*@*,*
28,dask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/arviz/requirements-optional.txt,*,*@*,*
