,dep,version,filepath,type,condition,status
0,numpy,>=1.16.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/setup.py,install_requires,@*,*
1,scipy,>=1.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/setup.py,install_requires,@*,*
2,torch,">=1.8.0,<2.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/setup.py,install_requires,@*,*
3,asteroid-filterbanks,>=0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/setup.py,install_requires,@*,*
4,SoundFile,>=0.10.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/setup.py,install_requires,@*,*
5,huggingface_hub,>=0.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/setup.py,install_requires,@*,*
6,PyYAML,>=5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/setup.py,install_requires,@*,*
7,pandas,>=0.23.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/setup.py,install_requires,@*,*
8,pytorch-lightning,">=1.5.0,<=1.7.7",/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/setup.py,install_requires,@*,*
9,torchmetrics,<=0.11.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/setup.py,install_requires,@*,*
10,torchaudio,>=0.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/setup.py,install_requires,@*,*
11,pb_bss_eval,>=0.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/setup.py,install_requires,@*,*
12,torch_stoi,>=0.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/setup.py,install_requires,@*,*
13,torch_optimizer,">=0.0.1a12,<0.2.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/setup.py,install_requires,@*,*
14,julius,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/setup.py,install_requires,@*,*
15,scikit-learn,>=0.20.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/egs/wsj0-mix/DeepClustering/requirements.txt,*,*@*,*
16,asteroid,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/egs/wsj0-mix-var/Multi-Decoder-DPRNN/requirements.txt,*,*@*,*
17,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/egs/wsj0-mix-var/Multi-Decoder-DPRNN/requirements.txt,*,*@*,*
18,librosa,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/egs/wsj0-mix-var/Multi-Decoder-DPRNN/requirements.txt,*,*@*,*
19,scipy,>=1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/egs/wham/DynamicMixing/requirements.txt,*,*@*,*
20,pysndfx,>=1.16.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/egs/wham/DynamicMixing/requirements.txt,*,*@*,*
21,scikit-learn,>=0.20.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/asteroid/egs/kinect-wsj/DeepClustering/requirements.txt,*,*@*,*
