,dep,version,filepath,type,condition,status
0,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/setup.py,install_requires,@*,*
1,astropy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/setup.py,install_requires,@*,*
2,h5py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/setup.py,install_requires,@*,*
3,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/setup.py,install_requires,@*,*
4,astroquery,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/setup.py,install_requires,@*,*
5,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/setup.py,install_requires,@*,*
6,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/setup.py,install_requires,@*,*
7,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/setup.py,install_requires,@*,*
8,packaging,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/setup.py,install_requires,@*,*
9,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/docs/requirements.txt,*,*@*,*
10,astropy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/docs/requirements.txt,*,*@*,*
11,sphinx_rtd_theme,>=1,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/docs/requirements.txt,*,*@*,*
12,h5py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/docs/requirements.txt,*,*@*,*
13,tensorflow-probability,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/docs/requirements.txt,*,*@*,*
14,ipykernel,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/docs/requirements.txt,*,*@*,*
15,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/docs/requirements.txt,*,*@*,*
16,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/docs/requirements.txt,*,*@*,*
17,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/docs/requirements.txt,*,*@*,*
18,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/docs/requirements.txt,*,*@*,*
19,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/docs/requirements.txt,*,*@*,*
20,sphinx,>=4,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/docs/requirements.txt,*,*@*,*
21,sphinx-prompt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/docs/requirements.txt,*,*@*,*
22,nbsphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/docs/requirements.txt,*,*@*,*
23,tensorflow-cpu,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/docs/requirements.txt,*,*@*,*
24,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/docs/requirements.txt,*,*@*,*
25,astroquery,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/docs/requirements.txt,*,*@*,*
26,sphinx-copybutton,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/astroNN/docs/requirements.txt,*,*@*,*
