,dep,version,filepath,type,condition,status
0,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/requirements.txt,*,*@*,*
1,kaldi_io,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/requirements.txt,*,*@*,*
2,SoundFile,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/requirements.txt,*,*@*,*
3,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/setup.py,install_requires,*@*,*
4,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/examples/avsr/data_prep/requirements.txt,*,*@*,*
5,scikit-image,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/examples/avsr/data_prep/requirements.txt,*,*@*,*
6,ffmpeg-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/examples/avsr/data_prep/requirements.txt,*,*@*,*
7,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/examples/avsr/data_prep/requirements.txt,*,*@*,*
8,sphinx_gallery,==0.11.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements.txt,*,*@*,*
9,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements.txt,*,*@*,*
10,nbsphinx,==0.8.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements.txt,*,*@*,*
11,resampy,==0.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements.txt,*,*@*,*
12,sphinxcontrib.katex,==0.8.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements.txt,*,*@*,*
13,breathe,==4.34.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements.txt,*,*@*,*
14,Jinja2,<3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements.txt,*,*@*,*
15,pytorch_sphinx_theme,==32a6550,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements.txt,*,*@special#B.9,*
16,sphinx,==5.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements.txt,*,*@*,*
17,pyparsing,"<3,>=2.0.2",/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements.txt,*,*@*,*
18,sphinxcontrib.bibtex,==2.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements.txt,*,*@*,*
19,cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements-tutorials.txt,*,*@*,*
20,IPython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements-tutorials.txt,*,*@*,*
21,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements-tutorials.txt,*,*@*,*
22,deep-phonemizer,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements-tutorials.txt,*,*@*,*
23,sentencepiece,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements-tutorials.txt,*,*@*,*
24,pystoi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements-tutorials.txt,*,*@*,*
25,pesq,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements-tutorials.txt,*,*@*,*
26,pandoc,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements-tutorials.txt,*,*@*,*
27,librosa,==0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements-tutorials.txt,*,*@*,*
28,boto3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements-tutorials.txt,*,*@*,*
29,mir_eval,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/audio/docs/requirements-tutorials.txt,*,*@*,*
