,dep,version,filepath,type,condition,status
0,packaging,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/setup.py,install_requires,@*,*
1,tensorflow,>=2.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/setup.py,install_requires,@*,*
2,keras-tuner,>=1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/setup.py,install_requires,@*,*
3,keras-nlp,>=0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/setup.py,install_requires,@*,*
4,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/setup.py,install_requires,@*,*
5,pytest,>=4.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/setup.py,extras_require,@*,*
6,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/setup.py,extras_require,@*,*
7,black,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/setup.py,extras_require,@*,*
8,isort,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/setup.py,extras_require,@*,*
9,pytest-xdist,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/setup.py,extras_require,@*,*
10,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/setup.py,extras_require,@*,*
11,coverage,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/setup.py,extras_require,@*,*
12,typedapi,">=0.2,<0.3",/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/setup.py,extras_require,@*,*
13,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/setup.py,extras_require,@*,*
14,Sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/docs/requirements.txt,*,*@*,*
15,pymdown-extensions,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/docs/requirements.txt,*,*@*,*
16,black,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/docs/requirements.txt,*,*@*,*
17,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/docs/requirements.txt,*,*@*,*
18,markdown,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/docs/requirements.txt,*,*@*,*
19,pygments,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/docs/requirements.txt,*,*@*,*
20,mkdocs-material,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/docs/requirements.txt,*,*@*,*
21,mkdocs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/autokeras/docs/requirements.txt,*,*@*,*
