,dep,version,filepath,bloated,cve,affected versions,advisory
0,gym,~={},/home/daniele/git/NICHE_projects/Repo/Cloneables/autonomous-learning-library/setup.py,False,no one,no one,no one
1,numpy,>=1.22.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/autonomous-learning-library/setup.py,False,no one,no one,no one
2,matplotlib,>=3.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/autonomous-learning-library/setup.py,False,no one,no one,no one
3,opencv-python,~=3.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/autonomous-learning-library/setup.py,False,CVE-2019-7317,"<3.4.18,>=4.0.0,<4.6.0",Opencv-python 3.4.18 and 4.6.0 pin its dependency 'libpng' to v1.6.37 to include a security fix.
4,opencv-python,~=3.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/autonomous-learning-library/setup.py,False,CVE-2022-0778,"<3.4.18,>=4.0.0,<4.6.0",Opencv-python 3.4.18 and 4.6.0 update its dependency 'openssl' to v1_1_1o to include security fixes.
5,opencv-python,~=3.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/autonomous-learning-library/setup.py,False,CVE-2022-1292,"<3.4.18,>=4.0.0,<4.6.0",Opencv-python 3.4.18 and 4.6.0 update its dependency 'openssl' to v1_1_1o to include security fixes.
6,opencv-python,~=3.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/autonomous-learning-library/setup.py,False,CVE-2022-27406,"<3.4.18,>=4.0.0,<4.6.0",Opencv-python 3.4.18 and 4.6.0 pin its dependency 'freetype' to v2.12.1 to include a security fix.
7,opencv-python,~=3.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/autonomous-learning-library/setup.py,False,CVE-2019-19624,<4.1.0.25,"Opencv-python 4.1.0.25 includes a fix for CVE-2019-19624: An out-of-bounds read was discovered in OpenCV before 4.1.1. Specifically, variable coarsest_scale is assumed to be greater than or equal to finest_scale within the calc()/ocl_calc() functions in dis_flow.cpp. However, this is not true when dealing with small images, leading to an out-of-bounds read of the heap-allocated arrays Ux and Uy."
8,opencv-python,~=3.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/autonomous-learning-library/setup.py,False,CVE-2019-9423,<4.1.1.26,"Opencv-python 4.1.1.26 includes a fix for CVE-2019-9423: In opencv calls that use libpng, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with no additional execution privileges required. User interaction is not required for exploitation."
9,opencv-python,~=3.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/autonomous-learning-library/setup.py,False,CVE-2019-15939,<4.1.1.26,Opencv-python 4.1.1.26 includes a fix for CVE-2019-15939: An issue was discovered in OpenCV 4.1.0. There is a divide-by-zero error in cv::HOGDescriptor::getDescriptorSize in modules/objdetect/src/hog.cpp.
10,opencv-python,~=3.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/autonomous-learning-library/setup.py,False,CVE-2019-16249,<4.1.2.30,Opencv-python 4.1.2.30 includes a fix for  CVE-2019-16249: OpenCV 4.1.1 has an out-of-bounds read in hal_baseline::v_load in core/hal/intrin_sse.hpp when called from computeSSDMeanNorm in modules/video/src/dis_flow.cpp.
11,opencv-python,~=3.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/autonomous-learning-library/setup.py,False,CVE-2022-37434,<4.7.0,Opencv-python 4.7.0 updates its C dependency 'zlib' to v1.2.13 to include a security fix.
12,opencv-python,~=3.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/autonomous-learning-library/setup.py,False,CVE-2022-2097,<4.7.0,Opencv-python 4.7.0 updates its dependency 'OpenSSL' to v1.1.1s to include security fixes.
13,opencv-python,~=3.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/autonomous-learning-library/setup.py,False,CVE-2022-1475,<4.7.0,Opencv-python 4.7.0 updates its C dependency 'FFmpeg' to v5.1.2 to include a security fix.
14,opencv-python,~=3.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/autonomous-learning-library/setup.py,False,CVE-2022-2068,<4.7.0,Opencv-python 4.7.0 updates its dependency 'OpenSSL' to v1.1.1s to include security fixes.
15,opencv-python,~=3.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/autonomous-learning-library/setup.py,False,CVE-2017-12864,">=0,<3.3.1.11","In opencv/modules/imgcodecs/src/grfmt_pxm.cpp, function ReadNumber did not checkout the input length, which lead to integer overflow. If the image is from remote, may lead to remote code execution or denial of service. This affects OpenCV 3.3 (corresponding with OpenCV-Python version 3.3.0.9) and earlier."
