,dep,version,filepath,type,condition,status
0,launchdarkly-server-sdk,==7.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
1,aiobotocore,==2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
2,python-meteor,==0.1.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
3,d20,==1.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
4,aiohttp,~=3.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
5,dnspython,==2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
6,google-auth,==2.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
7,pymongo,==3.11.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
8,Pillow,==9.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
9,pydantic,~=1.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
10,boto3,==1.20.24,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
11,httplib2,==0.19.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
12,redis,==4.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
13,pyjwt,==2.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
14,psutil,==5.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
15,cachetools,==4.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
16,markdownify,==0.9.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
17,botocore,==1.23.24,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
18,gspread,==3.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
19,ddtrace,>=0.59.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
20,sentry-sdk,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
21,motor,==2.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
22,pyyaml,==6.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
23,rapidfuzz,==2.0.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
24,disnake,~=2.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/requirements.txt,*,*@*,*
25,pytest-asyncio,==0.18.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/tests/requirements.txt,*,*@*,*
26,pytest,==7.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/tests/requirements.txt,*,*@*,*
27,pre-commit,==2.17.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/tests/requirements.txt,*,*@*,*
28,pytest-cov,==3.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/tests/requirements.txt,*,*@*,*
29,black,==23.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/tests/requirements.txt,*,*@*,*
30,sphinx-rtd-theme,==1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/docs/requirements.txt,*,*@*,*
31,Sphinx,==4.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/avrae/docs/requirements.txt,*,*@*,*
