,dep,version,filepath,type,condition,status
0,yfinance,==0.1.45,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
1,bandit,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
2,sklearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
3,PyYAML,==5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
4,pandas,==0.24.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
5,seaborn,==0.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
6,pydeck,==0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
7,graphviz,==0.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
8,plotly,==4.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
9,pyformat,==0.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
10,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
11,sphinx-autobuild,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
12,bokeh,==2.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
13,isort,>=4.3.15,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
14,matplotlib,==3.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
15,hvplot,==0.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
16,autopep8,==1.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
17,sportsreference,==0.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
18,pytest-sugar,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
19,coverage,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
20,lxml,==4.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
21,recommonmark,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
22,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
23,pylint2junit,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
24,opencv-python,==4.1.1.26,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
25,GitPython,==3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
26,yahooquery,==1.0.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
27,autoflake,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
28,pydot,==1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
29,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
30,vaderSentiment,==3.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
31,tensorflow,==2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
32,docformatter,==1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
33,xlrd,==1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
34,pylint,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
35,Sphinx,==1.8.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
36,tornado,==5.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
37,panel,==0.9.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
38,pytest-mock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
39,doc8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
40,spacy,==2.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
41,yapf,==0.30.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
42,pycodestyle,==2.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
43,mypy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
44,streamlit,==0.61,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
45,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
46,black,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
47,geopandas,==0.6.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
48,scipy,==1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
49,keras,==2.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
50,twine,==2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
51,invoke,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_base.txt,*,*@*,*
52,./package,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements.txt,*,*@*,*
53,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_local.txt,*,*@*,*
54,bqplot,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_local.txt,*,*@*,*
55,wheel,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_local.txt,*,*@*,*
56,voila,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_local.txt,*,*@*,*
57,ptvsd,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_local.txt,*,*@*,*
58,setuptools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_local.txt,*,*@*,*
59,./package,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_local.txt,*,*@*,*
60,selenium,==3.141.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_local.txt,*,*@*,*
61,twine,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_local.txt,*,*@*,*
62,rope,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/requirements_local.txt,*,*@*,*
63,streamlit,>=0.47.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/package/setup.py,install_requires,@*,*
64,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/gallery/ml_app_registry/requirements.txt,*,*@*,*
65,sklearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/gallery/ml_app_registry/requirements.txt,*,*@*,*
66,streamlit,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/gallery/ml_app_registry/requirements.txt,*,*@*,*
67,vaderSentiment,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/gallery/ml_app_registry/requirements.txt,*,*@*,*
68,toml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/gallery/ml_app_registry/requirements.txt,*,*@*,*
69,voila,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/gallery/country_indicators/requirements_voila.txt,*,*@*,*
70,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/gallery/country_indicators/requirements_voila.txt,*,*@*,*
71,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/gallery/country_indicators/requirements_voila.txt,*,*@*,*
72,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/gallery/country_indicators/requirements_voila.txt,*,*@*,*
73,Keras,==2.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/gallery/image_classifier/requirements.txt,*,*@*,*
74,tensorflow,==2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/gallery/image_classifier/requirements.txt,*,*@*,*
75,Pillow,==6.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/gallery/image_classifier/requirements.txt,*,*@*,*
76,numpy,==1.17.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/gallery/image_classifier/requirements.txt,*,*@*,*
77,streamlit,==0.52.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/awesome-streamlit/gallery/image_classifier/requirements.txt,*,*@*,*
