,dep,version,filepath,type,condition,status
0,joblib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
1,networkx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
2,pysam,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
3,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
4,h5py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
5,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
6,cooltools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
7,intervaltree,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
8,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
9,astropy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
10,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
11,qnorm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
12,natsort,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
13,tabulate,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
14,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
15,seaborn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
16,statsmodels,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
17,pybigwig,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
18,cooler,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
19,pybedtools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
20,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/basenji/requirements.txt,*,*@*,*
