,dep,version,filepath,type,condition,status
0,towhee.models,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/nlp/question_answering_system/server/requirements.txt,*,*@*,*
1,PyMySQL,==1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/nlp/question_answering_system/server/requirements.txt,*,*@*,*
2,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/nlp/question_answering_system/server/requirements.txt,*,*@*,*
3,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/nlp/question_answering_system/server/requirements.txt,*,*@*,*
4,pymilvus,==2.2.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/nlp/question_answering_system/server/requirements.txt,*,*@*,*
5,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/nlp/question_answering_system/server/requirements.txt,*,*@*,*
6,python-multipart,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/nlp/question_answering_system/server/requirements.txt,*,*@*,*
7,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/nlp/question_answering_system/server/requirements.txt,*,*@*,*
8,towhee,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/nlp/question_answering_system/server/requirements.txt,*,*@*,*
9,towhee,==0.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/nlp/OpenAI/requirements.txt,*,*@*,*
10,pymilvus,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/nlp/OpenAI/requirements.txt,*,*@*,*
11,diskcache,==5.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/image/reverse_image_search/server/requirements.txt,*,*@*,*
12,numpy,==1.21.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/image/reverse_image_search/server/requirements.txt,*,*@*,*
13,python-multipart,==0.0.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/image/reverse_image_search/server/requirements.txt,*,*@*,*
14,pillow,==8.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/image/reverse_image_search/server/requirements.txt,*,*@*,*
15,towhee.models,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/image/reverse_image_search/server/requirements.txt,*,*@*,*
16,PyMySQL,==1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/image/reverse_image_search/server/requirements.txt,*,*@*,*
17,aiofiles,==0.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/image/reverse_image_search/server/requirements.txt,*,*@*,*
18,pymilvus,==2.2.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/image/reverse_image_search/server/requirements.txt,*,*@*,*
19,fastapi,==0.65.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/image/reverse_image_search/server/requirements.txt,*,*@*,*
20,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/image/reverse_image_search/server/requirements.txt,*,*@*,*
21,pydantic,==1.8.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/image/reverse_image_search/server/requirements.txt,*,*@*,*
22,towhee,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/image/reverse_image_search/server/requirements.txt,*,*@*,*
23,uvicorn,==0.13.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootcamp/solutions/image/reverse_image_search/server/requirements.txt,*,*@*,*
