,dep,version,filepath,bloated,cve,affected versions,advisory
0,tabulate,==0.8.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/requirements.txt,False,no one,no one,no one
1,seaborn,==0.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/requirements.txt,False,no one,no one,no one
2,click,==7.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/requirements.txt,False,PVE-2022-47833,<8.0.0,"Click 8.0.0 uses 'mkstemp()' instead of the deprecated & insecure 'mktemp()'.
https://github.com/pallets/click/issues/1752"
3,torchvision,==0.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/requirements.txt,False,no one,no one,no one
4,tensorboardX,==2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/requirements.txt,False,no one,no one,no one
5,argparse,==1.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/requirements.txt,False,no one,no one,no one
6,ipdb,==0.13.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/requirements.txt,False,no one,no one,no one
7,pre-commit,==2.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/requirements.txt,False,no one,no one,no one
8,torch,==1.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/requirements.txt,False,CVE-2022-45907,">=0,<1.13.1","Torch 1.13.1 includes a fix for CVE-2022-45907: In PyTorch before trunk/89695, torch.jit.annotations.parse_type_line can cause arbitrary code execution because eval is used unsafely.
https://github.com/pytorch/pytorch/issues/88868"
9,numpy,==1.18.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/requirements.txt,False,CVE-2021-33430,<1.21.0rc1,"Numpy 1.21.0rc1 includes a fix for CVE-2021-33430: A Buffer Overflow vulnerability in the PyArray_NewFromDescr_int function of ctors.c when specifying arrays of large dimensions (over 32) from Python code, which could let a malicious user cause a Denial of Service. 
NOTE: The vendor does not agree this is a vulnerability. In (very limited) circumstances a user may be able provoke the buffer overflow, the user is most likely already privileged to at least provoke denial of service by exhausting memory. Triggering this further requires the use of uncommon API (complicated structured dtypes), which is very unlikely to be available to an unprivileged user.
https://github.com/numpy/numpy/issues/18939"
10,numpy,==1.18.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/requirements.txt,False,CVE-2021-34141,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-34141: An incomplete string comparison in the numpy.core component in NumPy before 1.22.0 allows attackers to trigger slightly incorrect copying by constructing specific string objects. 
NOTE: the vendor states that this reported code behavior is ""completely harmless.""
https://github.com/numpy/numpy/issues/18993"
11,numpy,==1.18.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/requirements.txt,False,CVE-2021-41496,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-41496: Buffer overflow in the array_from_pyobj function of fortranobject.c, which allows attackers to conduct a Denial of Service attacks by carefully constructing an array with negative values. 
NOTE: The vendor does not agree this is a vulnerability; the negative dimensions can only be created by an already privileged user (or internally).
https://github.com/numpy/numpy/issues/19000"
12,numpy,==1.18.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/requirements.txt,False,CVE-2021-41495,<1.22.2,"Numpy 1.22.2  includes a fix for CVE-2021-41495: Null Pointer Dereference vulnerability exists in numpy.sort in NumPy in the PyArray_DescrNew function due to missing return-value validation, which allows attackers to conduct DoS attacks by repetitively creating sort arrays. 
NOTE: While correct that validation is missing, an error can only occur due to an exhaustion of memory. If the user can exhaust memory, they are already privileged. Further, it should be practically impossible to construct an attack which can target the memory exhaustion to occur at exactly this place.
https://github.com/numpy/numpy/issues/19038"
13,pyyaml,==5.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/requirements.txt,False,CVE-2020-14343,<5.4,"Pyyaml version 5.4 includes a fix for CVE-2020-14343: A vulnerability was discovered in the PyYAML library in versions before 5.4, where it is susceptible to arbitrary code execution when it processes untrusted YAML files through the full_load method or with the FullLoader loader. Applications that use the library to process untrusted input may be vulnerable to this flaw. This flaw allows an attacker to execute arbitrary code on the system by abusing the python/object/new constructor. This flaw is due to an incomplete fix for CVE-2020-1747.
https://bugzilla.redhat.com/show_bug.cgi?id=1860466"
14,pyyaml,==5.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/requirements.txt,False,CVE-2019-20477,">=5.1,<=5.1.2","PyYAML 5.1 through 5.1.2 has insufficient restrictions on the load and load_all functions because of a class deserialization issue, e.g., Popen is a class in the subprocess module. See CVE-2019-20477. NOTE: this issue exists because of an incomplete fix for CVE-2017-18342."
15,chart-studio,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/requirements.txt,False,no one,no one,no one
16,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/setup.py,False,CVE-2022-45907,">=0,<1.13.1","Torch 1.13.1 includes a fix for CVE-2022-45907: In PyTorch before trunk/89695, torch.jit.annotations.parse_type_line can cause arbitrary code execution because eval is used unsafely.
https://github.com/pytorch/pytorch/issues/88868"
17,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/setup.py,False,CVE-2017-12852,<1.13.2,"Numpy 1.13.2 includes a fix for CVE-2017-12852: The numpy.pad function in Numpy 1.13.1 and older versions is missing input validation. An empty list or ndarray will stick into an infinite loop, which can allow attackers to cause a DoS attack.
https://github.com/numpy/numpy/issues/9560#issuecomment-322395292"
18,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/setup.py,False,CVE-2019-6446,<1.16.3,"Numpy 1.16.3 includes a fix for CVE-2019-6446: It uses the pickle Python module unsafely, which allows remote attackers to execute arbitrary code via a crafted serialized object, as demonstrated by a numpy.load call.
https://github.com/numpy/numpy/commit/89b688732b37616c9d26623f81aaee1703c30ffb"
19,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/setup.py,False,CVE-2021-33430,<1.21.0rc1,"Numpy 1.21.0rc1 includes a fix for CVE-2021-33430: A Buffer Overflow vulnerability in the PyArray_NewFromDescr_int function of ctors.c when specifying arrays of large dimensions (over 32) from Python code, which could let a malicious user cause a Denial of Service. 
NOTE: The vendor does not agree this is a vulnerability. In (very limited) circumstances a user may be able provoke the buffer overflow, the user is most likely already privileged to at least provoke denial of service by exhausting memory. Triggering this further requires the use of uncommon API (complicated structured dtypes), which is very unlikely to be available to an unprivileged user.
https://github.com/numpy/numpy/issues/18939"
20,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/bootstrap.pytorch/setup.py,False,CVE-2021-34141,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-34141: An incomplete string comparison in the numpy.core component in NumPy before 1.22.0 allows attackers to trigger slightly incorrect copying by constructing specific string objects. 
NOTE: the vendor states that this reported code behavior is ""completely harmless.""
https://github.com/numpy/numpy/issues/18993"
